monthly,country_name,Approval_Smoothed,Approval_Not_Smoothed,app_marginals_obs,Disapproval_Smoothed,Disapproval_Not_Smoothed,neg_marginals_obs,Country,ccodecow,wb_code
,,,,,,,,,,
,Afghanistan,,,,,,,Afghanistan,700,AFG
1999m5,Argentina,34.02314,34.35231,2,56.379871,55.10804,1,Argentina,160,ARG
2020m5,Argentina,69.310692,68.642738,26,24.723301,25.18808,25,Argentina,160,ARG
2012m10,Argentina,40.99873,41.092892,8,52.1838,52.485809,6,Argentina,160,ARG
2001m5,Argentina,29.8874,30.24527,1,54.76749,54.45348,1,Argentina,160,ARG
2018m3,Argentina,43.009209,42.981201,8,51.525501,51.904381,8,Argentina,160,ARG
1999m4,Argentina,32.25782,32.1474,1,59.56377,60.155201,1,Argentina,160,ARG
2010m1,Argentina,27.95405,27.482031,4,58.762611,56.42284,4,Argentina,160,ARG
2006m3,Argentina,64.134422,63.936119,6,26.78957,27.254471,2,Argentina,160,ARG
2005m7,Argentina,58.772202,58.369591,2,28.18096,28.580231,2,Argentina,160,ARG
2006m4,Argentina,60.54147,59.685139,3,27.11894,27.45653,2,Argentina,160,ARG
2010m3,Argentina,32.107182,32.124771,5,66.501549,67.340714,3,Argentina,160,ARG
2015m2,Argentina,41.753159,41.12077,5,53.87114,54.183681,5,Argentina,160,ARG
1999m3,Argentina,34.07048,34.452679,1,56.095482,55.743999,0,Argentina,160,ARG
2015m7,Argentina,52.029289,51.94207,10,43.810089,43.441219,7,Argentina,160,ARG
2009m5,Argentina,36.169731,35.69857,4,59.528172,61.216518,3,Argentina,160,ARG
1995m8,Argentina,40.361198,40.676571,5,49.940239,49.55859,2,Argentina,160,ARG
2004m10,Argentina,55.058868,54.943531,1,27.30551,27.338051,1,Argentina,160,ARG
1995m10,Argentina,38.141899,37.878571,2,53.580029,53.9622,1,Argentina,160,ARG
2008m2,Argentina,55.87812,55.30772,8,29.837391,29.845039,7,Argentina,160,ARG
2006m8,Argentina,59.590881,59.188862,2,29.018351,29.636869,2,Argentina,160,ARG
2007m11,Argentina,54.133579,54.930519,3,32.248039,30.835541,3,Argentina,160,ARG
2015m3,Argentina,41.64632,41.694111,9,53.356541,52.76038,8,Argentina,160,ARG
2014m2,Argentina,39.048119,39.155979,6,60.521671,60.596401,6,Argentina,160,ARG
2003m9,Argentina,66.181602,65.911873,3,23.575291,24.06179,2,Argentina,160,ARG
2018m8,Argentina,33.518089,33.58477,12,61.55724,61.337269,12,Argentina,160,ARG
1994m10,Argentina,40.168072,40.453949,0,45.773628,45.625751,0,Argentina,160,ARG
2005m3,Argentina,62.855049,63.348431,3,25.15733,25.10244,3,Argentina,160,ARG
1995m4,Argentina,42.942032,43.193069,2,45.698269,46.78875,1,Argentina,160,ARG
2021m2,Argentina,42.098579,41.818878,17,53.00082,53.477509,17,Argentina,160,ARG
2016m8,Argentina,49.10347,48.398361,21,43.436779,43.606361,18,Argentina,160,ARG
2015m6,Argentina,52.222691,52.681511,13,44.083359,43.480888,7,Argentina,160,ARG
2004m11,Argentina,57.395248,57.693321,2,25.9387,25.723089,2,Argentina,160,ARG
2004m5,Argentina,62.43961,61.891899,6,24.27668,24.335751,3,Argentina,160,ARG
2008m7,Argentina,34.92168,34.058109,7,53.524719,55.306801,6,Argentina,160,ARG
2001m11,Argentina,20.64765,20.56642,3,51.659039,51.396519,0,Argentina,160,ARG
2013m2,Argentina,40.23666,40.114071,2,53.03307,52.742569,2,Argentina,160,ARG
2002m8,Argentina,29.06443,30.094931,1,56.567509,54.141029,1,Argentina,160,ARG
2019m3,Argentina,31.375771,31.06489,14,62.101929,61.860989,14,Argentina,160,ARG
2020m4,Argentina,72.030251,72.713882,31,24.19581,22.73831,29,Argentina,160,ARG
2007m12,Argentina,56.67392,56.85722,8,35.434559,36.689251,4,Argentina,160,ARG
2015m8,Argentina,52.77594,52.8792,3,45.534489,45.977661,3,Argentina,160,ARG
2000m3,Argentina,54.637161,52.85508,6,20.252029,21.31422,3,Argentina,160,ARG
2013m9,Argentina,53.21949,54.25489,2,43.607521,41.806969,2,Argentina,160,ARG
2011m12,Argentina,62.306549,61.306461,4,27.319321,29.147711,2,Argentina,160,ARG
2013m12,Argentina,44.343121,43.193588,9,49.896999,51.461479,9,Argentina,160,ARG
2014m6,Argentina,38.199299,38.674461,6,56.685501,55.255611,6,Argentina,160,ARG
1995m6,Argentina,39.0439,38.674252,0,50.203449,50.334679,0,Argentina,160,ARG
2011m11,Argentina,67.250839,67.618233,4,22.29254,20.68211,3,Argentina,160,ARG
2002m4,Argentina,26.07806,25.435841,1,51.540081,53.485062,1,Argentina,160,ARG
2013m5,Argentina,42.490719,42.644402,2,47.618912,46.301682,2,Argentina,160,ARG
2003m5,Argentina,55.598961,59.423592,1,39.13813,36.698151,1,Argentina,160,ARG
2010m9,Argentina,46.400661,47.878422,5,44.189491,39.490822,1,Argentina,160,ARG
1995m12,Argentina,35.848598,36.005791,1,52.304241,51.904739,0,Argentina,160,ARG
2012m8,Argentina,47.909828,47.344231,6,46.135689,47.412842,5,Argentina,160,ARG
2007m9,Argentina,50.05439,49.573589,1,35.06913,35.109901,1,Argentina,160,ARG
2019m10,Argentina,34.446091,34.880489,13,59.874851,59.122372,13,Argentina,160,ARG
1997m11,Argentina,29.897961,29.990431,0,60.026581,59.418949,0,Argentina,160,ARG
2007m4,Argentina,57.789009,57.30875,2,30.369789,31.43684,2,Argentina,160,ARG
2013m6,Argentina,41.561691,41.460869,8,49.276131,49.49543,8,Argentina,160,ARG
2009m10,Argentina,29.382469,29.427589,4,50.705669,44.572102,3,Argentina,160,ARG
2018m5,Argentina,38.261829,37.602482,13,56.58614,57.572121,12,Argentina,160,ARG
2018m11,Argentina,34.095299,34.33699,4,61.16021,60.379211,4,Argentina,160,ARG
1995m1,Argentina,47.686649,48.585049,1,40.878578,38.950581,1,Argentina,160,ARG
2006m11,Argentina,60.66507,60.5807,3,28.16658,28.531891,3,Argentina,160,ARG
1998m3,Argentina,27.76874,27.8477,1,64.671051,64.124222,0,Argentina,160,ARG
1995m3,Argentina,41.64851,41.67437,4,42.37011,41.548531,1,Argentina,160,ARG
2019m12,Argentina,54.479912,57.677292,8,40.945671,34.144951,7,Argentina,160,ARG
2003m7,Argentina,71.761841,72.55027,3,20.704269,19.40584,3,Argentina,160,ARG
2018m6,Argentina,34.665531,34.23135,12,58.888302,59.290951,11,Argentina,160,ARG
2007m6,Argentina,55.11787,54.79969,4,31.23173,31.859131,2,Argentina,160,ARG
2016m10,Argentina,53.223518,53.38575,16,38.979012,38.15377,13,Argentina,160,ARG
2010m2,Argentina,32.155182,33.110489,1,62.0578,62.887009,0,Argentina,160,ARG
2015m4,Argentina,44.92308,45.525108,9,50.428059,49.164398,7,Argentina,160,ARG
2017m6,Argentina,48.17281,47.83485,16,45.453991,45.783829,14,Argentina,160,ARG
2014m4,Argentina,37.24601,37.17794,3,59.19717,59.988091,3,Argentina,160,ARG
2020m6,Argentina,63.656429,62.490021,25,31.09322,33.345501,25,Argentina,160,ARG
2018m2,Argentina,43.655281,43.17012,11,49.236382,50.415611,11,Argentina,160,ARG
2009m11,Argentina,29.74452,29.998131,4,62.488529,66.303612,3,Argentina,160,ARG
2009m3,Argentina,33.930302,33.842751,8,60.34988,63.83728,6,Argentina,160,ARG
2000m7,Argentina,42.674591,42.31213,2,38.092831,41.03812,0,Argentina,160,ARG
2020m9,Argentina,52.296791,51.56723,25,43.922379,46.037479,23,Argentina,160,ARG
2009m1,Argentina,37.245701,37.34367,1,50.220772,48.863941,1,Argentina,160,ARG
2005m10,Argentina,58.961319,59.251678,2,29.016529,29.237101,2,Argentina,160,ARG
2001m2,Argentina,29.431459,29.443859,2,54.901009,54.45348,0,Argentina,160,ARG
2006m10,Argentina,60.128151,59.72805,2,27.62579,27.644239,2,Argentina,160,ARG
2013m4,Argentina,41.970219,40.919239,5,51.261379,52.529659,5,Argentina,160,ARG
2009m2,Argentina,35.35894,35.018089,5,49.39064,48.814831,4,Argentina,160,ARG
2002m9,Argentina,23.651991,22.839979,2,69.934128,73.738739,1,Argentina,160,ARG
2014m11,Argentina,47.39426,48.07832,6,47.916531,45.95166,5,Argentina,160,ARG
2003m12,Argentina,64.826683,64.351303,4,24.2864,24.598669,3,Argentina,160,ARG
2006m9,Argentina,61.448479,61.650379,1,28.193501,28.122351,1,Argentina,160,ARG
2002m11,Argentina,25.951191,26.691879,1,57.562382,54.932209,1,Argentina,160,ARG
1996m12,Argentina,27.893829,28.293631,0,56.074619,53.770729,0,Argentina,160,ARG
2017m8,Argentina,48.670521,48.866402,12,46.07206,46.32338,11,Argentina,160,ARG
2000m4,Argentina,55.372952,55.445202,2,24.37866,26.44738,0,Argentina,160,ARG
2014m5,Argentina,35.813679,35.671162,5,59.814362,59.705002,5,Argentina,160,ARG
1999m6,Argentina,33.510551,33.49778,0,55.39069,54.74678,0,Argentina,160,ARG
2019m4,Argentina,28.580669,28.250219,11,65.440483,66.031799,11,Argentina,160,ARG
2020m1,Argentina,58.71965,59.162479,21,35.772949,34.11232,20,Argentina,160,ARG
1996m4,Argentina,32.850681,33.22263,1,55.838009,57.106392,0,Argentina,160,ARG
2003m1,Argentina,30.132219,30.68956,1,51.133411,49.689671,1,Argentina,160,ARG
2008m10,Argentina,36.743382,36.820938,5,51.187771,52.642269,5,Argentina,160,ARG
2018m1,Argentina,47.164181,46.528919,9,44.50832,44.514912,9,Argentina,160,ARG
1996m8,Argentina,30.609739,31.19323,1,59.63633,59.811039,0,Argentina,160,ARG
2016m9,Argentina,51.598122,51.90992,19,41.209068,40.428188,17,Argentina,160,ARG
2016m12,Argentina,52.793171,52.554291,19,37.977501,37.771488,17,Argentina,160,ARG
2019m5,Argentina,30.9403,31.51766,15,64.261131,63.244678,15,Argentina,160,ARG
1997m10,Argentina,30.1422,30.41445,2,60.234718,61.335991,1,Argentina,160,ARG
2006m6,Argentina,63.252869,63.304329,3,27.224199,27.46534,2,Argentina,160,ARG
2021m5,Argentina,39.111481,38.74139,21,55.928589,56.566448,20,Argentina,160,ARG
1998m12,Argentina,29.563169,29.81595,1,56.41251,55.743999,0,Argentina,160,ARG
2010m10,Argentina,45.194489,44.933681,9,48.367371,49.71846,6,Argentina,160,ARG
2012m11,Argentina,38.784458,38.456791,4,54.843418,55.539551,4,Argentina,160,ARG
1997m5,Argentina,30.25769,30.42293,1,54.073151,53.770729,0,Argentina,160,ARG
2003m4,Argentina,32.330528,32.477001,2,45.386051,45.111511,2,Argentina,160,ARG
2012m3,Argentina,58.009651,57.196091,10,33.601398,34.72044,6,Argentina,160,ARG
2003m3,Argentina,32.22076,32.62429,2,45.740799,44.18528,2,Argentina,160,ARG
2007m1,Argentina,61.58028,61.853691,1,27.718929,27.771589,1,Argentina,160,ARG
2014m7,Argentina,41.87376,42.530762,4,53.655231,52.399559,4,Argentina,160,ARG
2004m9,Argentina,55.156021,55.137878,1,27.82192,28.335279,1,Argentina,160,ARG
2010m7,Argentina,45.922878,46.87785,6,53.18866,52.843781,4,Argentina,160,ARG
2021m6,Argentina,38.893181,38.880379,16,56.846699,56.801601,16,Argentina,160,ARG
1994m11,Argentina,41.859509,42.120491,1,45.773918,45.625751,0,Argentina,160,ARG
2009m7,Argentina,35.572731,35.43985,1,53.814522,53.726349,0,Argentina,160,ARG
2005m1,Argentina,62.20591,62.260899,2,25.970091,26.22044,2,Argentina,160,ARG
2007m3,Argentina,59.632229,59.192459,1,27.665791,27.913349,1,Argentina,160,ARG
2001m4,Argentina,28.822069,28.53702,1,54.771561,54.45348,0,Argentina,160,ARG
2004m3,Argentina,69.011398,68.682487,4,22.39769,22.2936,3,Argentina,160,ARG
1998m4,Argentina,28.749861,29.064871,1,64.650513,64.124222,0,Argentina,160,ARG
2003m6,Argentina,65.070084,66.488701,3,25.26232,21.012501,3,Argentina,160,ARG
1999m1,Argentina,31.5769,32.116211,0,56.17625,55.743999,0,Argentina,160,ARG
1995m2,Argentina,41.489391,40.468739,3,44.411572,45.509701,2,Argentina,160,ARG
1996m1,Argentina,33.743252,33.413071,0,52.21426,51.904739,0,Argentina,160,ARG
2019m7,Argentina,39.69585,40.314781,13,57.330528,56.000332,13,Argentina,160,ARG
2007m7,Argentina,54.271091,54.192001,3,33.418419,34.25769,1,Argentina,160,ARG
2016m4,Argentina,55.510929,54.673458,10,35.384571,36.847172,9,Argentina,160,ARG
1998m7,Argentina,28.921921,29.23875,1,64.630608,64.124222,0,Argentina,160,ARG
2010m6,Argentina,40.919628,41.116421,3,53.063919,51.363491,0,Argentina,160,ARG
2014m12,Argentina,42.915279,42.202019,8,54.5383,56.505749,6,Argentina,160,ARG
2016m11,Argentina,53.508808,53.435791,17,38.727779,38.615719,16,Argentina,160,ARG
2021m9,Argentina,32.764301,32.027561,12,62.680561,63.15287,12,Argentina,160,ARG
2021m1,Argentina,43.968868,43.685478,17,50.663719,50.249168,17,Argentina,160,ARG
2001m3,Argentina,30.73484,31.06418,1,54.793152,54.45348,0,Argentina,160,ARG
2018m9,Argentina,32.806011,32.750229,10,62.188179,61.95026,10,Argentina,160,ARG
