geo,inflation_diff
Albania,3.9000000000000004
Austria,4.800000000000001
Belgium,2.0
Bulgaria,7.3
Croatia,7.1
Cyprus,4.6
Czechia,8.3
Denmark,5.0
Estonia,14.2
European Union - 27 countries (from 2020),4.5
Finland,3.8000000000000007
France,3.3
Germany,3.700000000000001
Greece,5.699999999999999
Hungary,10.700000000000001
Iceland,1.2000000000000002
Ireland,4.0
Italy,4.0
Latvia,13.899999999999999
Lithuania,8.8
Luxembourg,4.0
Malta,2.9000000000000004
Montenegro,8.4
Netherlands,6.1
Norway,3.9999999999999996
Poland,6.100000000000001
Portugal,5.9
Romania,6.1000000000000005
Serbia,4.5
Slovakia,5.7
Slovenia,5.5
Spain,4.3
Sweden,5.6
Switzerland,1.9
