geo,month,inflation
Albania,2022-08,7.7
Austria,2022-08,9.3
Belgium,2022-08,10.5
Bulgaria,2022-08,15.0
Switzerland,2022-08,3.3
Cyprus,2022-08,9.6
Czechia,2022-08,17.1
Germany,2022-08,8.8
Denmark,2022-08,9.9
Estonia,2022-08,25.2
Greece,2022-08,11.2
Spain,2022-08,10.5
European Union - 27 countries (from 2020),2022-08,10.1
Finland,2022-08,7.9
France,2022-08,6.6
Croatia,2022-08,12.6
Hungary,2022-08,18.6
Ireland,2022-08,9.0
Iceland,2022-08,5.5
Italy,2022-08,9.1
Lithuania,2022-08,21.1
Luxembourg,2022-08,8.6
Latvia,2022-08,21.4
Montenegro,2022-08,13.9
Malta,2022-08,7.0
Netherlands,2022-08,13.7
Norway,2022-08,7.1
Poland,2022-08,14.8
Portugal,2022-08,9.3
Romania,2022-08,13.3
Serbia,2022-08,12.8
Sweden,2022-08,9.5
Slovenia,2022-08,11.5
Slovakia,2022-08,13.4
