country,wind_consumption,solar_consumption,other_renewable_consumption,oil_consumption,nuclear_consumption,hydro_consumption,gas_consumption,coal_consumption,biofuel_consumption
Argentina,0.014200556850752354,0.002273124295040319,0.005080023033175969,0.3470418112530436,0.0230267059754701,0.07818016343202949,0.5020596145178022,0.008760370860013071,0.019377629782672927
Australia,0.030554622929272007,0.028710404061329506,0.00658989763335167,0.359428613609359,0.0,0.022000852460109393,0.26226840111343674,0.2895459340272073,0.0009012741659344559
Austria,0.04588746611832882,0.010484624731283297,0.03482101130946817,0.35797971773062903,0.0,0.25146275352836717,0.2079727077296944,0.07931816057575475,0.012073558276474437
Belarus,0.0014184397163120566,0.0015285469089024901,0.0011366948411541823,0.32166520936558823,0.0,0.0029955633278279737,0.6206321448233427,0.05009229573496551,0.0005311052819067975
Belgium,0.03482369446693949,0.01517942023254617,0.022364896524266216,0.485968955925648,0.14908847642443332,0.0010779568654747749,0.23545638472768043,0.0487003577841757,0.007339857048835778
Brazil,0.041771607297018065,0.004964972614953508,0.049623968638106954,0.36841591304717014,0.011547573557508595,0.2968604141015298,0.10114295418842609,0.050810795510833714,0.07486180104445292
Bulgaria,0.016412040538496445,0.017659960671607924,0.0274731508092573,0.28086238844350325,0.19794660414460744,0.03650166389351081,0.13381579942520042,0.27963810316139764,0.009690288912418694
Canada,0.021303396463339716,0.0026436576185595874,0.008088549992883215,0.3187311033423315,0.06248904519317211,0.24738774718530604,0.2916878183039734,0.041583156110268596,0.0060855257901657606
China,0.02658369443332671,0.014692196495294865,0.008951779667564478,0.19636217235533163,0.02194719913348443,0.08346594782169894,0.07673251171446989,0.57036740195496,0.0008970964238690402
Colombia,0.00029652409835366977,0.0006179065043537548,0.013853179732666653,0.38958649980823584,0.0,0.25478699981533826,0.2285330757539169,0.09524638134064403,0.017079432946490714
Croatia,0.04037030465594439,0.0022857023577176373,0.03168672309603081,0.41459927149760467,0.0,0.16028096396104913,0.2920376149374302,0.05114128562929874,0.007598133864924384
Czechia,0.003860599910023959,0.01261757043763928,0.03360291271277765,0.24608238038940794,0.16008830206840274,0.011079607871857378,0.17419570835207834,0.3502013998598048,0.008271518398007972
Denmark,0.21714801628189304,0.012951042102363731,0.0967732062883201,0.4572294257470186,0.0,0.00022953796557950685,0.14781224814584334,0.05394142191118411,0.013915101557797661
Ecuador,0.0010646654111501226,0.0004731846271778323,0.006870640786622125,0.6497440071166968,0.0,0.3073476108908174,0.03275383989324955,0.0004731846271778323,0.001272866647108369
Estonia,0.0288550396736879,0.003091042350466843,0.06932538797361461,0.24838277938880216,0.0,0.0007966603996048565,0.07426468245116472,0.5704885121570377,0.004795895605621236
Finland,0.048568571262550424,0.0011866132894571856,0.12976594970349958,0.334349702276279,0.18465293090424215,0.10012814200213468,0.06219933268293877,0.12553328786687912,0.013615470012019047
France,0.033428415673712,0.011248682939839478,0.010264276639052978,0.31961075102104225,0.36976125124745207,0.05410680973225029,0.15995961259746982,0.02909732103735249,0.012522879111828852
Germany,0.08981528017864919,0.032261486901053064,0.04344248829245334,0.3497213275057452,0.05139330834171665,0.0140763914205734,0.24164246398828204,0.16894322053004204,0.008704032841485108
Greece,0.06044425931010106,0.036836474831722345,0.004048761861483746,0.5592498272254778,0.0,0.03327053492254336,0.18171461751349846,0.11731311161391912,0.007122412721253948
Hong Kong,5.804756998360157e-06,0.00012770465396392346,0.0006878637043056786,0.698701185621617,0.0,0.0,0.0904439187914496,0.20830080250765506,0.0017327199640105068
Hungary,0.006991811359328903,0.014354676183096698,0.026028309196669253,0.35625134143102954,0.14987649740080689,0.0020989985194239213,0.3581029709741609,0.0778011808230839,0.008494214112400098
India,0.01791228384812032,0.013089560131320616,0.01079609661503503,0.29965025459494976,0.012260783619890166,0.045850166179242625,0.06359083468913745,0.5354552029767267,0.001394817345577589
Indonesia,0.000554872111979802,0.00013567405872860362,0.032418707539346565,0.37106550665346455,0.0,0.02425608652526125,0.19772058884280902,0.3484175056063391,0.025431058662071144
Ireland,0.14096467210008595,0.00046968653760961576,0.014565620012916381,0.4735080780747122,0.0,0.012473379981746276,0.283728030145336,0.06266579134175568,0.011624741805837991
Israel,0.0005373027402439752,0.027229972206191586,0.0011309891013777504,0.4216499837482504,0.0,0.00019236764774167015,0.35561149695196775,0.1920326626999131,0.0016152249043136784
Italy,0.02926651256296873,0.03431775039377781,0.042765424933802455,0.389684505103998,0.0,0.06715601735370316,0.38905468043267744,0.0426115410699545,0.005143568149117861
Japan,0.0037752101703992947,0.03414478964518173,0.016572350446774187,0.4057974411098334,0.031893917593147914,0.03743109741970955,0.207708213829195,0.26175853485268963,0.000918444933069358
Kazakhstan,0.0023337573493324255,0.001290828233455864,2.0032251925600217e-05,0.21471694428029128,0.0,0.032981850779755406,0.246698434479512,0.5019581526257274,0.0
Latvia,0.009055021522403374,0.00017842406940696303,0.06603920868925219,0.4883243749581819,0.0,0.12389321319445994,0.2925931708187435,0.010638535138390168,0.009278051609162076
Lithuania,0.055979715851948386,0.0033995778857458534,0.024108673173081012,0.5529838378401349,0.0,0.012890066150119695,0.3055653922971231,0.032706772242446565,0.012365964559400542
Luxembourg,0.015669606039459494,0.007274418998075662,0.01877815136712555,0.7413351942312167,0.0,0.005963331853073654,0.1682420858973546,0.011249973566791433,0.03148723804690309
Malaysia,0.0,0.0030996606169823686,0.002922352937383793,0.3706101237849387,0.0,0.05565204496200378,0.36440838471897946,0.19723786872945348,0.006069564250258506
Mexico,0.019671510930153912,0.011718495556822613,0.008691388560970889,0.43457032034242676,0.012627743022931062,0.027757031945013288,0.41665350533190215,0.06710719215637986,0.0012028121533995953
Netherlands,0.029672385949364735,0.013922105462907806,0.018178065616713177,0.4839010066211432,0.009673970563349836,0.00019171872906133142,0.3634938195163797,0.07306244259442392,0.007904484946656219
New Zealand,0.02254971860256974,0.001281837350768344,0.08811683681982979,0.3866332428209523,0.0,0.2559010027153714,0.1822029398825867,0.06313617815263724,0.0001782436552843555
