author,title,description,url,source,category,language,country,published_at,full_text,sentiment
"Alan Rios, do R7, em Brasília",Governo anuncia indicados para Conselho da Petrobras,Petrobras Flipar O Ministério de Minas e Energia divulgou os indicados da União para compor o Conselho de Administração da Petrobras. A lista tem Caio Mario Paes como presidente da estatal e Gileno Gurjão Barreto como presidente do Conselho de Administração. A definição foi realizada nesta quinta-feira (9). Ainda foram indicados Ricardo Soriano de Alencar; Edison Antonio Costa Britto Garcia; Jonathas Assunção Salvador Nery de Castro; Ieda Aparecida de Moura Gagni; José João Abdala Filho; Marcelo Gasparino da Silva; Ruy Flaks Schneider; e Márcio Andrade Weber. Veja também Brasí...,http://noticias.r7.com/brasilia/governo-anuncia-indicados-para-conselho-da-petrobras-09062022,R7,general,pt,br,2022-06-09T23:53:56+00:00,"Brasília|Alan Rios, do R7, em Brasília
09/06/2022 - 20h53(Atualizado em04/04/2024 - 02h27)
OMinistério de Minas e Energiadivulgou os indicados da União para compor o Conselho de Administração da Petrobras. A lista temCaio Mario Paes como presidenteda estatal e Gileno Gurjão Barreto como presidente do Conselho de Administração. A definição foi realizada nesta quinta-feira (9).
Ainda foram indicados Ricardo Soriano de Alencar; Edison Antonio Costa Britto Garcia; Jonathas Assunção Salvador Nery de Castro; Ieda Aparecida de Moura Gagni; José João Abdala Filho; Marcelo Gasparino da Silva; Ruy Flaks Schneider; e Márcio Andrade Weber.
“O Governo Federal renova o seu compromisso de respeito à sólida governança da Petrobras, mantendo a observância dos preceitos normativos e legais que regem a empresa”, divulgou, em nota.
O governo federal é acionista controlador da Petróleo Brasileiro S.A., a Petrobras. No fim de maio, após 40 dias da posseJosé Mauro Ferreira Coelho foi demitido do cargocomo presidente da Petrobras, o governo indicou Caio Mario Paes de Andrade para o cargo. Ele é formado em Comunicação Social pela Universidade Paulista, tem pós-graduação em Administração e Gestão pela Universidade Harvard e é mestre em Administração de Empresas pela Universidade Duke, ambas nos Estados Unidos.
Últimas
Brasília
Todos os direitos reservados - 2009-2025- Rádio e Televisão Record S.A
Utilizamos cookies e tecnologia para aprimorar sua experiência de navegação de acordo com oAviso de Privacidade.",NA
,"2,4 Milliarden Euro mehr für Familien-Entlastung in Portugal","LISSABON (dpa-AFX) - Die Regierung von Portugal hat zur Abfederung der Folgen von Inflation und Energiekrise ein Entlastungspaket für Familien im Umfang von 2,4 Milliarden Euro beschlossen. Die Maßnahmen des Programms ""Familien zuerst"" seien auf einer außerordentlichen Ministerratssitzung bewilligt worden, erklärte Ministerpräsident António Costa am Montagabend in Lissabon. [mehr]",https://www.aktiencheck.de/news/Artikel-2_4_Milliarden_Euro_mehr_fuer_Familien_Entlastung_Portugal-14797307,aktiencheck,general,de,de,2022-09-05T21:15:55+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,"Portugal beschließt 1,4-Milliarden-Euro-Hilfspaket für Unternehmen","LISSABON (dpa-AFX) - Die portugiesische Regierung hat zur Abfederung der Folgen von Energiekrise und Inflation ein Hilfspaket für Unternehmen in Höhe von gut 1,4 Milliarden Euro angekündigt. Die Maßnahmen seien am Donnerstag vom Ministerrat gebilligt worden, teilte der Wirtschaftsminister der linken Regierung, António Costa Silva, in Lissabon mit. [mehr]",https://www.aktiencheck.de/news/Artikel-Portugal_beschliesst_1_4_Milliarden_Euro_Hilfspaket_fuer_Unternehmen-14832522,aktiencheck,general,de,de,2022-09-15T17:40:49+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,Briefwahl in Portugal ungültig - Keine Änderung an Sozialisten-Sieg,"LISSABON (dpa-AFX) - Die Briefwahl für die Parlamentswahl in Portugal vor gut zwei Wochen war wegen eines Verfahrensfehlers ungültig und die Stimmabgabe der im europäischen Ausland lebenden Portugiesen muss wiederholt werden. Das entschied das Verfassungsgericht am Mittwoch. Am Sieg der Sozialisten von Ministerpräsident António Costa, die die absolute Mehrheit der Parlamentssitze erobert hatten, ändert das zwar nichts. [mehr]",http://www.aktiencheck.de/news/Artikel-Briefwahl_Portugal_ungueltig_Keine_Aenderung_Sozialisten_Sieg-14173076,aktiencheck,general,de,de,2022-02-16T22:35:58+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
mol-oz@madsack.de (RND Methode),"Diesen Wahlappell richten Scholz, Sánchez und Costa an alle Franzosen","Drei prominente europäische Spitzenpolitiker haben sich vor der Stichwahl in Frankreich ganz klar auf die Seite von Emmanuel Macron gestellt: Bundeskanzler Olaf Scholz sowie die linken Regierungschefs von Spanien und Portugal, Pedro Sánchez und António Costa. Sie fordern alle Franzosen dazu auf, dem Amtsinhaber ihre Stimme zu geben.",http://www.ostsee-zeitung.de/Nachrichten/Politik/Praesidentschaftswahl-Frankreich-2022-Scholz-Sanchez-und-Costa-rufen-Franzosen-zur-Wahl-von-Emmanuel-Macron-auf,ostsee-zeitung,general,de,de,2022-04-21T14:31:49+00:00,[ERROR: 404 Client Error: Not Found for url: https://www.ostsee-zeitung.de/Nachrichten/Politik/Praesidentschaftswahl-Frankreich-2022-Scholz-Sanchez-und-Costa-rufen-Franzosen-zur-Wahl-von-Emmanuel-Macron-auf/],NA
mol-sn@madsack.de (RND Methode),"Diesen Wahlappell richten Scholz, Sánchez und Costa an alle Franzosen","Drei prominente europäische Spitzenpolitiker haben sich vor der Stichwahl in Frankreich ganz klar auf die Seite von Emmanuel Macron gestellt: Bundeskanzler Olaf Scholz sowie die linken Regierungschefs von Spanien und Portugal, Pedro Sánchez und António Costa. Sie fordern alle Franzosen dazu auf, dem Amtsinhaber ihre Stimme zu geben.",http://www.sn-online.de/Nachrichten/Politik/Deutschland-Weltweit/Praesidentschaftswahl-Frankreich-2022-Scholz-Sanchez-und-Costa-rufen-Franzosen-zur-Wahl-von-Emmanuel-Macron-auf,sn-online,general,de,de,2022-04-21T14:31:49+00:00,[ERROR: 404 Client Error: Not Found for url: https://www.sn-online.de/Nachrichten/Politik/Deutschland-Weltweit/Praesidentschaftswahl-Frankreich-2022-Scholz-Sanchez-und-Costa-rufen-Franzosen-zur-Wahl-von-Emmanuel-Macron-auf/],NA
,"Scholz, Sánchez und Costa rufen Franzosen zur Wahl Macrons auf","MADRID (dpa-AFX) - Bundeskanzler Olaf Scholz (SPD) sowie die linken Regierungschefs Spaniens und Portugals, Pedro Sánchez und António Costa, haben die Franzosen zur Wahl Emmanuel Macrons in der St...",https://www.finanznachrichten.de/nachrichten-2022-04/55832321-scholz-sanchez-und-costa-rufen-franzosen-zur-wahl-macrons-auf-016.htm,finanznachrichten,general,de,de,2022-04-21T12:23:00+00:00,"MADRID (dpa-AFX) - Bundeskanzler Olaf Scholz (SPD) sowie die linken Regierungschefs Spaniens und Portugals, Pedro Sánchez und António Costa, haben die Franzosen zur Wahl Emmanuel Macrons in der Stichwahl um das Präsidentenamt am Sonntag aufgerufen. Frankreich stehe vor der Wahl zwischen einem demokratischen Kandidaten, der glaube, dass Frankreichs Stärke in einer mächtigen und autonomen Europäischen Union zunehme. Und einer Kandidatin der extremen Rechten, die sich offen auf die Seite derjenigen stelle, die die Freiheit und Demokratie Europas angriffen, schrieben die drei Politiker in einem am Donnerstag in der spanischen Zeitung ""El País"" erschienenen gemeinsamen Artikel.
Der vom russischen Präsidenten Wladimir Putin befohlene Angriff auf die Ukraine habe ""Erinnerungen an die dunkelsten Zeiten Europas"" geweckt, heißt es darin weiter. ""Putins Krieg richtet sich gegen die Werte, für die Frankreich und unsere Länder stehen: Demokratie, Souveränität, Freiheit und Rechtsstaatlichkeit."" Populisten und die extreme Rechte hätten Putin als ideologisches und politisches Vorbild genommen. ""Das dürfen wir nicht vergessen, egal wie sehr diese Politiker jetzt versuchen, sich von dem russischen Aggressor zu distanzieren"", schrieben die drei Regierungschefs. Die rechte Gegenkandidatin Macrons in der Stichwahl, Marine Le Pen, gilt als Freundin Putins. Macron wirft ihr vor, vom Kreml-Chef abhängig zu sein./ro/DP/jha",Positive
,Stimmenauszählung bestätigt Wahltriumph der Sozialisten in Portugal,Die Partei von Ministerpräsident António Costa kommt auf 42 Prozent der Stimmen. Damit können die Sozialisten auf eine absolute Mehrheit im Parlament hoffen.,https://www.nzz.ch/international/regierende-sozialisten-gewinnen-laut-prognosen-die-neuwahl-in-portugal-ld.1667302,Neue Zuercher Zeitung,general,de,ch,2022-01-30T22:02:46+00:00,"In Portugal haben die Sozialisten am Sonntag völlig überraschend die absolute Mehrheit bei der vorgezogenen Wahl errungen. Während die einstigen Bündnispartner Costas im linken Lager von den Wählern abgestraft wurden, wird die rechtspopulistische Chega zur drittstärksten Kraft im Parlament.
Selten haben sich Meinungsumfragen so sehr getäuscht wie beim vorgezogenen Urnengang in Portugal vom Sonntag. Die Prognosen waren von einem Patt zwischen dem linken und dem konservativen Lager und von einer entsprechend schwierigen Regierungsbildung ausgegangen. Stattdessen errang der amtierende Ministerpräsident António Costa mit 41,7 Prozent der Stimmen die absolute Mehrheit, seine sozialistische Partei PS kann mit 117 Abgeordneten und damit mehr als der Hälfte der 230 Parlamentarier im Palacio de São Bento rechnen. «Das ist ein Sieg für die Bescheidenheit, das Vertrauen und die Stabilität», sagte der 60-Jährige in der Wahlnacht. Die Medien bezeichneten seinen Wahlerfolg sogar als «historisch». Denn seit der Nelkenrevolution im Jahr 1974 ist es noch keinem sozialistischen portugiesischen Politiker gelungen, drei Regierungsmandate hintereinander zu erzielen.
NZZ.ch benötigt JavaScript für wichtige Funktionen. Ihr Browser oder Adblocker verhindert dies momentan.
Bitte passen Sie die Einstellungen an.
Costas 64-jähriger Herausforderer Rui Rio von der konservativen PSD gestand seine Niederlage ein, noch bevor das offizielle Ergebnis vorlag. Die PSD bringt es in der neuen Legislaturperiode mit 27,8 Prozent der Stimmen nur noch auf 71 Abgeordnete, das sind 8 weniger als bei den letzten Parlamentswahlen im Januar 2019.
Die vorgezogene Wahl vom Sonntag war notwendig geworden, weil die sozialistische Minderheitsregierung bei der Abstimmung über den neuen Haushalt Ende November keine Mehrheit im Parlament fand. Die beiden ehemaligen Koalitionspartner, die Kommunisten und der alternative Linksblock, entzogen Costa die Unterstützung, weil er nach einem jahrelangen Sparkurs die geforderte deutliche Erhöhung der Sozialausgaben und des Mindestlohns ablehnte. Ganz bewusst liess sich der Sozialist auf einen Streit mit den ehemaligen Bündnispartnern ein, denn er ging davon aus, dass diese wegen des Sturzes seiner «progressiven Regierung» von den Wählern abgestraft würden.
Seine Rechnung ging auf. Der Linksblock (Bloco Esquerda) verlor gleichzeitig seine Stellung als drittstärkste Kraft im Parlament und kam nur noch auf 5 Abgeordnete, 14 weniger als nach der letzten Wahl. Auch die Kommunisten, die zusammen mit den Grünen in einer gemeinsamen Wahlplattform antraten, erzielten das schlechteste Ergebnis seit Beginn der Demokratie in Portugal.
Auch im konservativen Lager gab es grosse Verwerfungen. Die christlichdemokratische Partei CDS-PP schaffte es zum ersten Mal seit 47 Jahren nicht mehr ins Parlament und steht nun praktisch vor der Auflösung, nachdem der amtierende Parteivorsitzende Francisco Rodrigues dos Santos seinen Rücktritt angekündigt hatte. Grosser Wahlgewinner hingegen ist die rechtspopulistische Chega (Es reicht), die nun mit 12 Abgeordneten im Parlament vertreten ist. Im Gegensatz zu anderen europäischen Ländern gab es in Portugal lange Zeit keine Partei am äussersten rechten Rand. Das änderte sich erst vor zwei Jahren, als André Ventura ein Mandat für sich errang. Auf der Oppositionsbank sitzen in der nächsten Legislaturperiode auch die Abgeordneten der verhältnismässig jungen liberalen Partei Iniciativa Liberal (IL), die es auf 8 Mandate brachte. Portugals Medien rechnen damit, dass künftig ein rauerer Ton im Parlament herrschen wird.
Costa knüpft mit seiner absoluten Mehrheit an den Wahlsieg der Sozialisten im Jahr 2005 an, als die Partei mit ihrem Kandidaten José Sócrates sogar 119 Mandate errang. Dabei hatten diesmal die Wahlen unter keinem günstigen Vorzeichen gestanden, denn die Sozialisten befürchteten, dass ihre Klientel – unter ihnen viele ältere Bürger – aus Angst vor der Pandemie zu Hause bleiben. Rund eine Million Portugiesen befanden sich wegen Corona am Wahltag in häuslicher Quarantäne.
Die Wahlbehörden boten verschiedene Modalitäten an, damit sich alle Portugiesen an der Wahl beteiligen konnten. Staatspräsident Marcelo Rebelo de Sousa hatte die 10,8 Millionen Wahlberechtigten noch am Vorabend dazu aufgerufen, zahlreich zu den Urnen zu gehen. Das Ergebnis konnte sich sehen lassen, die in Portugal stets chronisch hohe Enthaltung lag «nur» bei 42,04 Prozent, bei den letzten Parlamentswahlen 2019 waren es noch mehr als 51 Prozent gewesen.
Costa gab sich indessen betont konziliant. Absolute Mehrheit bedeute nicht absolute Macht, betonte er bei seiner ersten Ansprache. Er strebe den Dialog mit allen politischen Formationen an, von den Rechtsextremen einmal abgesehen. Für den ehemaligen Bürgermeister von Lissabon ist der Wahlerfolg die Krönung seiner Karriere. Seit 2015 führte er zwei Minderheitsregierungen an, die stets auf die Unterstützung der Parteien am linken Rand angewiesen waren. Kritiker hatten seine Allianzen stets als «Geringonça» (Wackelbau) verlacht.
Trotz der absoluten Mehrheit warten auf Costa grosse Herausforderungen. Die Finanzkrise vor zehn Jahren und die Pandemie haben es bisher verhindert, dass die heimische Wirtschaft ihre strukturellen Schwächen überwinden konnte. Nach wie vor leidet das Land unter einem aufgeblähten Staatsapparat, geringer Produktivität und einer grossen Abhängigkeit vom Tourismus, was in den letzten beiden Jahren besonders verheerende Folgen hatte, wie José Reis, ein Wirtschaftswissenschafter der Universität von Coimbra, unterstreicht. Mit einem Durchschnittseinkommen von 900 Euro im Monat liegt Portugal weit unter dem europäischen Mittelwert. Da ist es kein Wunder, dass angesichts der schlechten Aussichten auf dem heimischen Arbeitsmarkt nach wie vor viele junge Portugiesen ins Ausland abwandern.",Positive
AFP,Portugiesen entscheiden bei vorgezogener Neuwahl über neue Regierung,Portugal hat am Sonntag ein neues Parlament gewählt. Jüngsten Umfragen zufolge zeichnet sich ein Kopf-an-Kopf-Rennen zwischen der Sozialistischen Partei (PS) von Regierungschef António Costa und der,https://business-panorama.de/news.php?newsid=6498104,business-panorama,general,de,de,2022-01-30T08:40:57+00:00,"Der angefragte Artikel ist nicht vorhanden.
Das MÃ¼nchener Raumfahrt-Startup Isar Aerospace erhÃ¤lt eine Finanzspritze in HÃ¶he von 150 Millionen Euro aus den USA. Der US-Fonds Eldridge Industries investiere diese Summe in
Berlin (dts Nachrichtenagentur) - Die Mindestlohnkommission wird ihre Entscheidung Ã¼ber die neue gesetzliche Lohnuntergrenze ab 2026 mÃ¶glicherweise noch nicht wie bisher geplant
Berlin (dts Nachrichtenagentur) - Bundeswirtschaftsministerin Katherina Reiche (CDU) rudert bei der noch am Vortag angedeuteten Aufweichung des Ziels einer KlimaneutralitÃ¤t
Der Operationssaal ist Herz und Motor einer Klinik. Hier arbeiten Ãrzte und OP-Personal Hand in Hand. Dennoch spielen OP-Schwestern und OP-Pfleger nicht mehr die Rolle, die ihnenMehr
Wetzlar (dts Nachrichtenagentur) - Das deutsche Kamera-Traditionsunternehmen Leica will zum 100-jÃ¤hrigen JubilÃ¤um ein Smartphone in Europa auf den Markt bringen. ""Es hat
Berlin (dts Nachrichtenagentur) - Der PrÃ¤sident des Bundesverbands der Deutschen Industrie (BDI), Peter Leibinger, hat sich positiv Ã¼ber die aktuelle Koalition geÃ¤uÃert. ""Die
Menlo Park (dts Nachrichtenagentur) - Der Leiter des Quantencomputer-Labors von Google, Hartmut Neven, rechnet damit, dass seine neuartige Technologie noch vor 2030 eingesetzt
Angesichts der Kritik an der Entscheidung der Bundesregierung, die Stromsteuer nur fÃ¼r die Industrie sowie fÃ¼r die Land- und Forstwirtschaft auf das europÃ¤ische MindestmaÃ zu
Die EinschrÃ¤nkung von Versammlungen in Brandenburg wÃ¤hrend der Coronapandemie ist nicht mit der Verfassung vereinbar gewesen. Entsprechende Regelungen in der
In der Unionsfraktion formiert sich Widerstand gegen die PlÃ¤ne der schwarz-roten Koalition fÃ¼r eine massive Schuldenaufnahme. Die Gruppe der jungen CDU-Abgeordneten drohte mit
Die sogenannte Progress-Pride-Flagge darf einer Gerichtsentscheidung zufolge in Grundschulhorten gezeigt werden. Das entschied das Berliner Verwaltungsgericht am Mittwoch, wie
Die Bundesanwaltschaft hat gegen den mutmaÃlichen Messerangreifer von Bielefeld einen neuen Haftbefehl erwirkt. Mahmoud M. wurde am Mittwoch dem Ermittlungsrichter des
In einem Prozess um BandendiebstÃ¤hle von Metallwaren mit einem Millionenwert hat das Landgericht im nordrhein-westfÃ¤lischen Hagen vier Angeklagte zu mehrjÃ¤hrigen Haftstrafen
Berlin (dts Nachrichtenagentur) - Die von der Bundesregierung versprochene StÃ¤rkung des Ã¶ffentlichen Personennahverkehrs (ÃPNV) wÃ¼rde den Staat bis 2040 einen dreistelligen
Berlin (dts Nachrichtenagentur) - Die SPD hat die Kritik aus der CDU an Bundesfinanzminister Lars Klingbeil (SPD) zurÃ¼ckgewiesen, wonach die Stromsteuer zum Jahreswechsel auch
Berlin (dts Nachrichtenagentur) - Die Gruppe der jungen CDU-Abgeordneten hat damit gedroht, das Gesetz zur Schaffung eines Infrastruktur-SondervermÃ¶gen von 500 Milliarden Euro
WITTMANN MEDIA.© 2015 All rights reserved | Template byW3layouts",NA
mol-gt@madsack.de (RND Methode),Wahlen in Portugal: Ein gutes Ergebnis,"Die Wähler in Portugal haben sich für den bisherigen Ministerpräsidenten und Sozialisten António Costa entschieden. Eine zerstrittene bürgerliche Mehrheit mit rechtspopulistischer Abhängigkeit wird es wohl nicht geben. Portugal in Stabilität weiterzuführen, ohne quälende Unsicherheiten, ist gut für das Land, kommentiert Martin Dahms.",http://www.goettinger-tageblatt.de/Nachrichten/Politik/Deutschland-Welt/Wahlen-in-Portugal-Ein-gutes-Ergebnis,goettinger-tageblatt,general,de,de,2022-01-31T14:21:41+00:00,"Sind Sie bereits Abonnent?Hier anmelden
Sind Sie bereits Abonnent?Hier anmelden
Partner im RedaktionsNetzwerk Deutschland
Ministerpräsident António Costa nach seinem Wahlsieg in Portugal.
Quelle: imago images/GlobalImagens
Die Wähler in Portugal haben sich für den bisherigen Ministerpräsidenten und Sozialisten António Costa entschieden. Eine zerstrittene bürgerliche Mehrheit mit rechtspopulistischer Abhängigkeit wird es wohl nicht geben. Portugal in Stabilität weiterzuführen, ohne quälende Unsicherheiten, ist gut für das Land, kommentiert Martin Dahms.
Madrid.António Costa kann jetzt loslegen. Er kann das tun, was er für richtig hält. Vier Jahre lang.Ohne Rücksicht auf erklärte oder unerklärte Partner.FürPortugalist das eine gute Nachricht.
Das Land ganz im WestenEuropashat es schwer. Die internationale Finanz- und Wirtschaftskrise Ende der Nullerjahre hat hier stärker zugeschlagen als anderswo, dieCorona-Krise– wegen wegbleibender Touristen – auch. Costa hat es in seinen vergangenen sechs Regierungsjahren mit einer behutsamen Wirtschafts- und Sozialpolitik geschafft, den Ärmsten zu helfen, ohne die Staatsfinanzen aus den Augen zu verlieren.
Viel bleibt zu tun. Es sind dieselben Hausaufgaben wie je: Portugal nach vorn zu bringen, attraktiv für Investoren und Arbeiter zu machen, einheimische wie ausländische. Eine starke Regierung kann das besser als eine schwache.
Mehr zum Thema
Das Wahlergebnis vom Sonntag ist ein gutes, weil es keine Unsicherheiten schafft. Eines der gefürchteten Szenarien war das einer bürgerlichen Mehrheit, die auf die rechtspopulistische Chega angewiesen wäre. Chega ist jetzt mit zwölf Abgeordneten im Parlament vertreten. Wahrscheinlich werden sie vor allem Lärm machen. Das ist ein vergleichsweise geringer Schaden.
Costa kann jetzt loslegen. Wenn er‘s schlecht macht, wird er in vier Jahren abgewählt. Das ist die Schönheit der Demokratie.",Positive
