author,title,description,url,source,category,language,country,published_at,full_text,sentiment
,Slowakischer Regierungschef warnt seine Bürger vor Panik,"BRATISLAVA (dpa-AFX) - Nach dem russischen Raketenangriff auf einen Truppenübungsplatz im Westen der Ukraine hat der slowakische Regierungschef Eduard Heger die Bürger seines Landes vor Panik gewarnt. Die Nato-Partner hätten ihm wiederholt ihre Bereitschaft versichert, alle Mitglieder des Verteidigungsbündnisses zu schützen, sagte der 45-Jährige am Sonntag nach Angaben der Nachrichtenagentur TASR. [mehr]",http://www.aktiencheck.de/news/Artikel-Slowakischer_Regierungschef_warnt_seine_Buerger_Panik-14264559,aktiencheck,general,de,de,2022-03-13T15:30:50+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,Mit dem Zug durchs Kriegsgebiet: Von der Leyen nach Kiew aufgebrochen,"PRZEMYSL (dpa-AFX) - EU-Kommissionspräsidentin Ursula von der Leyen ist in der Nacht zu Freitag mit dem Zug von Südostpolen nach Kiew aufgebrochen. In der ukrainischen Hauptstadt will sie am Freitag unter anderem den ukrainischen Präsidenten Wolodymyr Selenskyj treffen. Die ehemalige Bundesverteidigungsministerin von der Leyen wird von einer Delegation begleitet, der auch der EU-Außenbeauftragte Josep Borrell, der slowakische Ministerpräsident Eduard Heger und mehrere EU-Parlamentarier angehören. [mehr]",http://www.aktiencheck.de/news/Artikel-Zug_durchs_Kriegsgebiet_Von_Leyen_Kiew_aufgebrochen-14356670,aktiencheck,general,de,de,2022-04-08T04:15:53+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,"Von der Leyen im Kriegsgebiet: ""Zeichen der Unterstützung""","Kiew - EU-Kommissionspr&auml;sidentin Ursula von der Leyen ist am Freitag zu einem Solidarit&auml;tsbesuch in der ukrainischen Hauptstadt Kiew eingetroffen.Dort will sie unter anderem den ukrainischen Pr&auml;sidenten Wolodymyr Selenskyj treffen. Die ehemalige Bundesverteidigungsministerin wird von einer Delegation begleitet, der auch der EU-Au&szlig;enbeauftragte Josep Borrell, der slowakische Ministerpr&auml;sident Eduard Heger und mehrere EU-Parlamentarier angeh&ouml;ren. Von der Leyen sieht in ihrer Reise nach Kiew ein &quot;deutliches Zeichen der Unterst&uuml;tzung f&uuml;r die Ukrainer&...",https://www.nordbayern.de/politik/von-der-leyen-im-kriegsgebiet-zeichen-der-unterstutzung-1.12011840,nordbayern,general,de,de,2022-04-08T11:40:17+00:00,"Login

Kein Account?Jetzt registrieren!
Noch nicht registriert?
Registrieren Sie sich jetzt und profitieren Sie von allen Vorteilen!
Login

Registrieren Sie sich hier:

Vielen Dank. Ihr Benutzeraccount wurde erstellt. Um ihn zu verifizieren, ist noch ein kleiner Schritt nötig:
Sie haben eine E-Mail zum Aktivieren Ihres Benutzerkontos erhalten.
Bitte prüfen Sie Ihren Posteingang.
Vielen Dank für Ihre Registrierung!
Ihr Konto wurde erfolgreich aktiviert.
Hinweis
Wenn Sie Artikel kommentieren möchten, müssen Sie in IhremBenutzer:innenprofilnoch Ihren Namen und Ihren Nicknamen ergänzen. Dies können Sie jederzeit nachholen.
Leider konnte Ihr Konto nicht erfolgreich aktiviert werden. Eventuell ist der Aktivierungslink abgelaufen. Bitte versuchen Sie erneut, sich zu registrieren. Sollte das nicht funktionieren, wenden Sie sich bitte direkt an leserservice@vnp.de.
Bestätigung der Einwilligung
Vielen Dank!
Freuen Sie sich auf interessante Produkte und Angebote.
Das Passwort muss mindestens 8 Zeichen lang sein und eine Zahl sowie ein Sonderzeichen enthalten.
Hier finden Sie die Hinweise zumDatenschutz.
* Bitte füllen Sie alle Pflichtfelder aus, um die Registrierung abzuschließen.
Registrieren Sie sich hier:

Vielen Dank. Ihr Benutzeraccount wurde erstellt. Um ihn zu verifizieren, ist noch ein kleiner Schritt nötig:
Sie haben eine E-Mail zum Aktivieren Ihres Benutzerkontos erhalten.
Bitte prüfen Sie Ihren Posteingang.
Vielen Dank für Ihre Registrierung!
Ihr Konto wurde erfolgreich aktiviert.
Hinweis
Wenn Sie Artikel kommentieren möchten, müssen Sie in IhremBenutzer:innenprofilnoch Ihren Namen und Ihren Nicknamen ergänzen. Dies können Sie jederzeit nachholen.
Leider konnte Ihr Konto nicht erfolgreich aktiviert werden. Eventuell ist der Aktivierungslink abgelaufen. Bitte versuchen Sie erneut, sich zu registrieren. Sollte das nicht funktionieren, wenden Sie sich bitte direkt an leserservice@vnp.de.
Bestätigung der Einwilligung
Vielen Dank!
Freuen Sie sich auf interessante Produkte und Angebote.
Das Passwort muss mindestens 8 Zeichen lang sein und eine Zahl sowie ein Sonderzeichen enthalten.
Hier finden Sie die Hinweise zumDatenschutz.
* Bitte füllen Sie alle Pflichtfelder aus, um die Registrierung abzuschließen.
Krieg in der Ukraine
© Michael Fischer/dpa
Kiew-                                Die Kriegsgräuel im Kiewer Vorort Butscha haben die Weltgemeinschaft schockiert. EU-Kommissionschefin von der Leyen ist in die Ukraine gereist. Sie verspricht Tempo auf dem Weg des Landes in die EU.
EU-Kommissionspräsidentin Ursula von der Leyen hat der Ukraine bei einem Besuch in Kiew die volle Solidarität der Europäischen Union zugesagt.
Sie sagte zum ukrainischen Präsidenten Wolodymyr Selenskyj: ""Ich bin heute mit dir hier in Kiew, um ein deutliches Zeichen zu setzen, dass die Europäische Union an eurer Seite steht."" Für den Wunsch der Ukraine nach einem schnellen EU-Beitritt sprach von der Leyen dem Land Mut zu - und versprach Tempo.
Bei einem Besuch im Kiewer Vorort Butscha machte sie die russische Armee für die Kriegsgräuel in der Stadt verantwortlich. ""Wir haben das grausame Gesicht von Putins Armee gesehen, wir haben die Rücksichtslosigkeit und die Kaltherzigkeit gesehen, mit der sie die Stadt besetzt hat."" Man habe gesehen, ""wie unsere Menschlichkeit zertrümmert wurde, und die ganze Welt trauert mit den Menschen in Butscha"".
Von der Leyen war in der Nacht zum Freitag mit dem Zug von Südostpolen nach Kiew aufgebrochen. Die ehemalige deutsche Verteidigungsministerin wurde von einer Delegation begleitet, der auch der EU-Außenbeauftragte Josep Borrell und der slowakische Ministerpräsident Eduard Heger angehörten. Zusammen mit dem ukrainischen Regierungschef Denys Schmyhal legten sie in Butscha Kerzen für die Opfer nieder. Zudem sahen sie sich unter anderem 20 exhumierte Leichen aus einem Massengrab an. Sie waren die ersten westlichen Spitzenpolitiker, die sich nach Bekanntwerden von Kriegsverbrechen in Butscha ein Bild von der Lage gemacht haben.
Am Wochenende hatten Bilder von teils gefesselten Leichen auf den Straßen des Kiewer Vororts Butscha Entsetzen ausgelöst. Die Ukraine macht russische Truppen für die Gräueltaten an Hunderten Bewohnern verantwortlich. Moskau bestreitet das und spricht von einer ""Inszenierung"" und ""Provokation"", ohne dafür Beweise vorzulegen.
Von der Leyen sprach von einem entscheidenden Moment. ""Wird die abscheuliche Verwüstung oder die Menschlichkeit siegen? Wird das Recht der Macht dominieren oder der Rechtsstaat? Wird es ständige Konflikte und Kämpfe geben oder eine Zukunft des gemeinsamen Wohlstands?"" Die Ukrainer hielten die Fackel der Freiheit. Man habe darüber beraten, wie die EU ihre Hilfe ausbauen könne. Die EU mobilisiere ihre Wirtschaftskraft, um den russischen Präsidenten Wladimir Putin einen möglichst hohen Preis zahlen zu lassen.
Mit Blick auf das für die Ukraine so wichtigen Thema EU-Beitritt sagte von der Leyen: ""Wir stehen an eurer Seite, wenn ihr von Europa träumt."" Ihre Botschaft laute, ""dass die Ukraine zur europäischen Familie gehört"". Zugleich sprach sie von einer ""ersten positiven Antwort"", als sie Selenskyj einen Fragebogen überreichte, der die Grundlage für die Gespräche über den Beitritt sein soll.
Kiew hatte kurz nach Beginn der russischen Invasion in die Ukraine die Mitgliedschaft in der EU beantragt. Derzeit prüft die EU-Kommission auf Bitten des Rats der EU-Staaten den Antrag. Der EU-Beitritt ist ein langer und komplizierter Prozess. Selbst wenn die EU-Kommission den Antrag positiv bewerten sollte, könnte allein der Start der Aufnahmeverhandlungen noch lange auf sich warten lassen, da alle EU-Staaten einverstanden sein müssen.
Von der Leyen versprach am Freitag jedoch Tempo. Man stehe sieben Tage die Woche rund um die Uhr bereit, um die Ukraine beim Ausfüllen des Fragebogens zu unterstützen. ""Es wird nicht wie üblich eine Sache von Jahren sein, die Stellungnahme auszuarbeiten, sondern ich denke eine Sache von Wochen."" Ihre Behörde wolle dem Rat der EU-Staaten bis zum Sommer ihre Einschätzung vorlegen.
Als Reaktion auf das Massaker an Zivilisten in Butscha hatte von der Leyen am Dienstag ein fünftes Sanktionspaket gegen Russland vorgeschlagen, das mittlerweile von den EU-Staaten beschlossen wurde. Es enthält unter anderem ein Importverbot für Kohle aus Russland, aber auch weitere Beschränkungen für den Handel mit Russland und ein weitgehendes Einlaufverbot für Schiffe unter russischer Flagge in EU-Häfen.
Selenskyj sagte am Freitag zwar, er sei dankbar das Sanktionspaket, zugleich forderte er jedoch weitere Strafmaßnahmen. ""Denn anders will Russland niemanden und nichts verstehen."" Die Sanktionen dürften nicht ""oberflächlich"", sondern müssten ""tief durchdacht"" sein, damit Russland sie nicht umgehen könnte. Moskau habe der Ukraine sehr viel genommen. ""Wir können das Territorium zurückholen, aber nicht die Menschen"", sagte er mit Blick auf die vielen Toten.
Der Außenbeauftragte Borrell sagte mit Blick auf den Besuch in Kiew und die Frage, ob weitere Einfuhrverbote etwa für russisches Öl oder Gas verhängt werden: ""Das ist der große Elefant im Raum."" Das Thema werde beim Treffen der EU-Außenminister am Montag auf dem Tisch liegen. Mit an Bord des Zugs nach Kiew war auch EU-Botschafter Matti Maasikos. Er sollte seine Arbeit in der ukrainischen Hauptstadt mit einem kleinen Team wiederaufnehmen. Die EU-Vertretung war einen Tag nach Kriegsbeginn komplett evakuiert worden, ein Kernteam arbeitete fortan von Rzeszow in Südpolen aus.
Die Reise und die Rückkehr des Botschafters sollten zeigen, ""dass die Ukraine existiert, dass es da eine Hauptstadt gibt, eine Regierung gibt und Vertretungen anderer Länder"", sagte Borrell. Das Land sei noch immer unter der Kontrolle der Ukrainer.
Er kündigte zudem an, 7,5 Millionen Euro für die Ermittlungen zur Verfügung zu stellen, die die Ukraine nach den Kriegsverbrechen in dem Kiewer Vorort Butscha und an anderen Orten durchführt. Auch zeigte er sich zuversichtlich, dass die EU-Staaten seinem Vorschlag in den kommenden Tagen zustimmen, der Ukraine zusätzliche 500 Millionen Euro zur Unterstützung der ukrainischen Streitkräfte in ihrem Kampf gegen die russische Armee bereitzustellen. Damit würden sich die zur Verfügung stehenden Mittel auf 1,5 Milliarden Euro erhöhen.
Weitere Angebote des Verlags Nürnberger Presse:
Copyright ©  2025 - Verlag Nürnberger Presse - All rights reserved",Positive
,Slowakei verringert Erdgas-Abhängigkeit von Russland,BRATISLAVA (dpa-AFX) - Die Slowakei hat ihre Abhängigkeit von russischen Gaslieferungen beträchtlich verringert. Das gaben Ministerpräsident Eduard Heger und Wirtschaftsminister Richard Sulik am F...,https://www.finanznachrichten.de/nachrichten-2022-05/56172178-slowakei-verringert-erdgas-abhaengigkeit-von-russland-016.htm,finanznachrichten,general,de,de,2022-05-27T16:05:00+00:00,"BRATISLAVA (dpa-AFX) - Die Slowakei hat ihre Abhängigkeit von russischen Gaslieferungen beträchtlich verringert. Das gaben Ministerpräsident Eduard Heger und Wirtschaftsminister Richard Sulik am Freitag bekannt. Heger verkündete an einer neu errichteten Erdgas-Kompressorstation in der ostslowakischen Gemeinde Vyrava den Beginn des Testbetriebs einer Gaspipeline, die Polen und die Slowakei verbindet. Die mit EU-Förderungen gebaute Leitung werde der Slowakei ermöglichen, Gas auch aus Norwegen und Übersee zu beziehen.
Wirtschaftsminister Richard Sulik gab in Bratislava die Unterzeichnung von mehreren Gaslieferverträgen bekannt. Eine Vereinbarung mit Norwegen könne ab Juni 32 Prozent des slowakischen Bedarfs abdecken. Weitere 33 Prozent seien durch gleichzeitig abgeschlossene andere Vereinbarungen zur Lieferung von Flüssiggas mittels Tankern über die Ostsee und Polen gesichert.
Um die Verhandlungen nicht zu gefährden, habe er über die Details bisher Stillschweigen bewahrt. ""Heute kann ich Ihnen mitteilen, dass wir unsere Abhängigkeit von russischem Gas um 65 Prozent reduziert haben"", sagte Sulik. Bisher bezog die Slowakei mehr als 80 Prozent ihres Erdgasbedarfs aus Russland./ct/DP/ngu",Positive
,Slowakei verringert Erdgas-Abhängigkeit von Russland,"BRATISLAVA (dpa-AFX) - Die Slowakei hat ihre Abhängigkeit von russischen Gaslieferungen beträchtlich verringert. Das gaben Ministerpräsident Eduard Heger und Wirtschaftsminister Richard Sulik am Freitag bekannt. Heger verkündete an einer neu errichteten Erdgas-Kompressorstation in der ostslowakischen Gemeinde Vyrava den Beginn des Testbetriebs einer Gaspipeline, die Polen und die Slowakei verbindet. [mehr]",http://www.aktiencheck.de/news/Artikel-Slowakei_verringert_Erdgas_Abhaengigkeit_von_Russland-14523665,aktiencheck,general,de,de,2022-05-27T16:05:49+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,Volvo plant Fabrik für Elektroautos in der Slowakei,"BRATISLAVA (dpa-AFX) - Volvo will im Osten der Slowakei ein Werk für Elektroautos bauen. Das gaben Volvo-Generaldirektor Jim Rowan und die slowakische Regierung am Freitag in einer Internet-Präsentation bekannt. Der konservative Ministerpräsident Eduard Heger nannte die geplante Investition ""historisch"" und ""ein ambitioniertes und starkes Signal in die Zukunft"". [mehr]",https://www.aktiencheck.de/news/Artikel-Volvo_plant_Fabrik_fuer_Elektroautos_Slowakei-14605523,aktiencheck,general,de,de,2022-07-01T09:00:49+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,Neue Erdgas-Pipeline verbindet Slowakei mit Polen,STRACHOCIN (dpa-AFX) - Die EU-Staaten Slowakei und Polen verbindet eine neue Erdgas-Pipeline. Der polnische Ministerpräsident Mateusz Morawiecki und sein slowakischer Kollege Eduard Heger eröffneten die mehr als 160 Kilometer lange Verbindungsstrecke am Freitag feierlich im polnischen Strachocin. [mehr],https://www.aktiencheck.de/news/Artikel-Neue_Erdgas_Pipeline_verbindet_Slowakei_Polen-14765455,aktiencheck,general,de,de,2022-08-26T14:06:02+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,„Wir müssen der Ukraine eine europäische Hoffnung geben“,"„Die Slowakei will möglichst schnell unabhängig von russischen Energielieferungen werden“, so Eduard Heger, Ministerpräsident der Slowakei. Das brauche aber Zeit, erklärt Heger im WELT-Interview. Dass Bundeskanzler Olaf Scholz eine Reise nach Kiew plant, sieht er positiv.",https://www.welt.de/politik/ausland/video239333327/Ministerpraesident-Slowakei-Eduard-Heger-im-exklusiven-WELT-Interview.html,DIE WELT,general,de,de,2022-06-13T14:53:44+00:00,"Hauptnavigation: Nutzen Sie die Tabulatortaste, um durch die Menüpunkte zu navigieren. Öffnen Sie Untermenüs mit der Leertaste. Schließen Sie Untermenüs mit der Escape-Taste.
Hauptnavigation: Nutzen Sie die Tabulatortaste, um durch die Menüpunkte zu navigieren. Öffnen Sie Untermenüs mit der Leertaste.
Quelle:WELT / Lena Mosel
„Die Slowakei will möglichst schnell unabhängig von russischen Energielieferungen werden“, so Eduard Heger, Ministerpräsident der Slowakei. Das brauche aber Zeit, erklärt Heger im WELT-Interview. Dass Bundeskanzler Olaf Scholz eine Reise nach Kiew plant, sieht er positiv.
Produkte
Abonnement
Services
© PREMIUM-GRUPPE GmbH2025
EinAxel SpringerUnternehmen
Die WELT als ePaper: Die vollständige Ausgabe steht Ihnen bereits am Vorabend zur Verfügung – so sind Sie immer hochaktuell informiert. Weitere Informationen https://epaper.welt.de",Positive
,Neue Erdgas-Pipeline verbindet Slowakei mit Polen,STRACHOCIN (dpa-AFX) - Die EU-Staaten Slowakei und Polen verbindet eine neue Erdgas-Pipeline. Der polnische Ministerpräsident Mateusz Morawiecki und sein slowakischer Kollege Eduard Heger eröffneten die mehr als 160 Kilometer lange Verbindungsstrecke ...,https://www.finanzen.net/nachricht/aktien/neue-erdgas-pipeline-verbindet-slowakei-mit-polen-11663778,finanzen,general,de,de,2022-08-26T13:57:39+00:00,[ERROR: 403 Client Error: Forbidden for url: https://www.finanzen.net/nachricht/aktien/neue-erdgas-pipeline-verbindet-slowakei-mit-polen-11663778],NA
SDA Import,Russland: Slowakei schenkt der Ukraine ihr Flugabwehr-Raketensystem,"Die Slowakei hat der Ukraine ihr S-300 Flugabwehrsystem geschenkt. Das gab Ministerpräsident Eduard Heger während seiner Reise nach Kiew bekannt, die er am Freitag gemeinsam mit EU-Kommissionspräsidentin Ursula von der Leyen unternahm.",https://www.blick.ch/ausland/russland-slowakei-schenkt-der-ukraine-ihr-flugabwehr-raketensystem-id17390687.html,Blick,general,de,ch,2022-04-08T14:34:33+00:00,"Das noch zu Sowjetzeiten entwickelte russische Flugabwehr-Raketensystem S-300 zerstört mit präziser Lenktechnik gegnerische Flugzeuge oder Raketen.
Der Schritt kam überraschend, weil die Regierung in Bratislava bisher stets erklärt hatte, das Raketensystem sei für ihre eigene Verteidigung unverzichtbar. Das im März aus Deutschland und den Niederlanden zur Verstärkung der Nato-Ostflanke gelieferte System Patriot sei kein Ersatz, sondern nur eine vorübergehende Ergänzung, erklärte Verteidigungsminister Jaroslav Nad regelmässig auf Drängen ukrainischer und amerikanischer Partner.
In einer offensichtlich noch während der Zugfahrt nach Kiew aufgenommenen Videobotschaft, die das Regierungsamt in Bratislava der Deutschen Presse-Agentur und slowakischen Medien weiterleitete, betonte Heger, dies bedeute aber nicht, dass die Slowakei damit selbst in einen bewaffneten Konflikt verwickelt sei. Auch werde man von den Nato-Verbündeten rasch einen Ersatz für das an die Ukraine gelieferte System bekommen.
«Mit dieser verantwortungsvollen Entscheidung gewährt die Slowakei als Land, das Frieden, Freiheit und Schutz der Menschenrechte unterstützt, der Ukraine und ihren unschuldigen Bürgern eine rein defensive Hilfe», sagte Heger in der Videobotschaft. Das Raketensystem werde nach seiner Überzeugung helfen, «viele Ukrainer vor der Aggression des Putin-Regimes zu retten». Nach von der slowakischen Regierung vorerst nicht bestätigten Medienberichten, wurde das Raketensystem S-300 in einer zwei Tage dauernden Geheimaktion an die Ukraine geliefert.
(SDA)",Positive
