author,title,description,url,source,category,language,country,published_at,full_text,sentiment
,Rumäniens Präsident verlangt Strafen für russische Gräuel in Ukraine,"IRPIN (dpa-AFX) - Rumäniens Staatspräsident Klaus Iohannis hat erneut verlangt, dass Gräueltaten Russlands in dessen Angriffskrieg gegen die Ukraine vor ein internationales Strafgericht gebracht werden. ""Ich erneuere mit Nachdruck meinen Appell dafür, dass alle russischen Täter von der internationalen Strafjustiz - die Rumänien voll unterstützt - zur Verantwortung gezogen werden"", twitterte Iohannis am Donnerstag nach einem Besuch in dem von russischem Beschuss stark beschädigten Kiewer Vorort Irpin. [mehr]",https://www.aktiencheck.de/news/Artikel-Rumaeniens_Praesident_verlangt_Strafen_fuer_russische_Graeuel_Ukraine-14582425,aktiencheck,general,de,de,2022-06-16T11:05:45+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,"ROUNDUP 3: Scholz, Macron und Draghi zu Solidaritätsbesuch in Kiew","(neu: neu: Besuch Irpin, Treffen mit Selenskyj, Zitate.) KIEW (dpa-AFX) - Bundeskanzler Olaf Scholz (SPD) hat bei seiner lang erwarteten ersten Ukraine-Reise dem kriegsgeplagten Land weitere Unterstützung zugesagt. Am 113. Tag nach dem russischen Angriff kam Scholz mit Frankreichs Präsident Emmanuel Macron, dem italienischen Ministerpräsident Mario Draghi und dem rumänischen Präsident Klaus Iohannis zu einem Solidaritätsbesuch in die Hauptstadt Kiew. [mehr]",https://www.aktiencheck.de/news/Artikel-ROUNDUP_3_Scholz_Macron_und_Draghi_Solidaritaetsbesuch_Kiew-14582515,aktiencheck,general,de,de,2022-06-16T11:50:46+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,Ukrainische Getreide-Exporte: Iohannis wirft Russland Erpressung vor,"KIEW (dpa-AFX) - Rumäniens Staatspräsident Klaus Iohannis hat Russland wegen der Blockade von ukrainischen Getreide-Exporten Erpressung vorgeworfen. ""Ich verurteile mit Nachdruck, dass Russland Ge...",https://www.finanznachrichten.de/nachrichten-2022-06/56329620-ukrainische-getreide-exporte-iohannis-wirft-russland-erpressung-vor-016.htm,finanznachrichten,general,de,de,2022-06-16T14:47:00+00:00,"KIEW (dpa-AFX) - Rumäniens Staatspräsident Klaus Iohannis hat Russland wegen der Blockade von ukrainischen Getreide-Exporten Erpressung vorgeworfen. ""Ich verurteile mit Nachdruck, dass Russland Getreide in eine Waffe verwandelt, mit derartig globalen Folgen"", sagte Iohannis bei einer Pressekonferenz mit dem ukrainischen Staatspräsidenten Wolodymyr Selenskyj, Bundeskanzler Olaf Scholz, Frankreichs Präsident Emmanuel Macron und Italiens Ministerpräsident Mario Draghi am Donnerstag in Kiew. Rumänien bemühe sich, über den Schwarzmeer-Hafen Constanta sowie über den gemeinsamen Grenzstrom Donau eine effiziente Ausweichroute für die ukrainischen Exporte zu schaffen, sagte Iohannis.
Durch den Krieg und die Tatsache, dass die Ukraine als einer der größten Getreideexporteure der Welt nicht mehr liefern kann, werden in mehreren Ländern der Welt bereits die Nahrungsmittel knapp.
Seit Kriegsbeginn sei bereits fast eine Million Tonnen ukrainisches Getreide über Constanta exportiert worden, sagte Iohannis. Nun wolle man die Transportkapazitäten ausbauen. Neue rumänisch-ukrainische Grenzübergänge sollten geschaffen und das Schienennetz saniert werden.
Iohannis hatte am Mittwoch eingeräumt, dass Rumänien große Probleme mit dem Getreide hat, da man auf diese Mengen nicht vorbereitet war. Rumänien stehe hier vor einer ""logistischen Herausforderung von epischem Ausmaß"", sagte er bei einem Treffen mit Macron am rumänischen Luftwaffenstützpunkt Mihail Kogalniceanu bei Constanta.
Nach Constanta gelangt das ukrainische Getreide mühsam in Lastwagen und auf kleinen Frachtschiffen, die zum Teil durch das Donaudelta fahren müssen, das im Südosten die Grenze zwischen der Ukraine und Rumänien bildet. Der Schienenverkehr spielt dabei wegen der mangelhaften Infrastruktur kaum eine Rolle./kl/DP/stk",Neutral
,Ukraine-Russland-Krise: Rumänien verlangt mehr Nato-Präsenz im Land,"BUKAREST (dpa-AFX) - Angesichts einer möglicherweise drohenden Invasion Russlands in die Ukraine wachsen die Sorgen im benachbarten Nato- und EU-Land Rumänien. ""Wir sind bereit, eine größere Präsenz der (Nato)-Allianz zu beherbergen"", sagte Staatspräsident Klaus Iohannis am Mittwoch in einer Fernsehansprache nach einer Sitzung des Obersten Verteidigungsrats. [mehr]",http://www.aktiencheck.de/news/Artikel-Ukraine_Russland_Krise_Rumaenien_verlangt_mehr_Nato_Praesenz_Land-14095050,aktiencheck,general,de,de,2022-01-26T14:35:56+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,"Biden, Scholz und Verbündete wollen in Schalte über Ukraine sprechen","WASHINGTON (dpa-AFX) - US-Präsident Joe Biden will sich an diesem Freitag mit Bundeskanzler Olaf Scholz (SPD) und weiteren Verbündeten über den Ukraine-Konflikt austauschen. An der Schalte um 17.00 Uhr sollen außerdem EU-Kommissionspräsidentin Ursula von der Leyen, EU-Ratschef Charles Michel, Nato-Generalsekretär Jens Stoltenberg, Frankreichs Staatschef Emmanuel Macron, der britische Premierminister Boris Johnson, Polens Präsident Andrzej Duda, der rumänische Staatspräsident Klaus Iohannis, Italiens Ministerpräsident Mario Draghi und Kanadas Premier Justin Trudeau teilnehmen, wie das...",http://www.aktiencheck.de/news/Artikel-Biden_Scholz_und_Verbuendete_wollen_Schalte_ueber_Ukraine_sprechen-14155825,aktiencheck,general,de,de,2022-02-11T15:40:56+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,Rumänien setzt sich für EU-Beitritt der Ukraine ein,"BUKAREST (dpa-AFX) - Rumäniens Staatspräsident Klaus Iohannis hat sich für einen EU-Beitritt der Ukraine sowie der Republik Moldau und Georgiens ausgesprochen. ""Rumänien unterstützt voll die Integration der Ukraine, der Republik Moldau und Georgiens in die Europäische Union. Der Platz dieser Partner der EU ist in der europäischen Familie und Rumänien wird sein Bestes tun, damit dies Realität wird"", schrieb Iohannis am Dienstag bei Twitter. [mehr]",http://www.aktiencheck.de/news/Artikel-Rumaenien_setzt_sich_fuer_EU_Beitritt_Ukraine-14214153,aktiencheck,general,de,de,2022-03-01T10:00:52+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,Solidaritätsbekundung: Steinmeier in Rumänien eingetroffen,"Bukarest - Bundespr&auml;sident Frank-Walter Steinmeier ist zu einem eint&auml;gigen Besuch in Rum&auml;nien eingetroffen. In Bukarest wurde er von Staatspr&auml;sident Klaus Iohannis mit milit&auml;rischen Ehren begr&uuml;&szlig;t.Anschlie&szlig;end zogen sich beide zu einem Gespr&auml;ch zur&uuml;ck, in dessen Mittelpunkt der russische Angriffskrieg in der Ukraine stehen sollte. Steinmeier will Rum&auml;nien laut Bundespr&auml;sidialamt versichern, dass Deutschland ein treuer B&uuml;ndnispartner sei. Das Land hat im Norden und S&uuml;den eine gemeinsame Grenze mit der Ukraine.Steinmeier setzt...",https://www.nordbayern.de/politik/solidaritatsbekundung-steinmeier-in-rumanien-eingetroffen-1.12097355,nordbayern,general,de,de,2022-05-04T09:41:01+00:00,"Login

Kein Account?Jetzt registrieren!
Noch nicht registriert?
Registrieren Sie sich jetzt und profitieren Sie von allen Vorteilen!
Login

Registrieren Sie sich hier:

Vielen Dank. Ihr Benutzeraccount wurde erstellt. Um ihn zu verifizieren, ist noch ein kleiner Schritt nötig:
Sie haben eine E-Mail zum Aktivieren Ihres Benutzerkontos erhalten.
Bitte prüfen Sie Ihren Posteingang.
Vielen Dank für Ihre Registrierung!
Ihr Konto wurde erfolgreich aktiviert.
Hinweis
Wenn Sie Artikel kommentieren möchten, müssen Sie in IhremBenutzer:innenprofilnoch Ihren Namen und Ihren Nicknamen ergänzen. Dies können Sie jederzeit nachholen.
Leider konnte Ihr Konto nicht erfolgreich aktiviert werden. Eventuell ist der Aktivierungslink abgelaufen. Bitte versuchen Sie erneut, sich zu registrieren. Sollte das nicht funktionieren, wenden Sie sich bitte direkt an leserservice@vnp.de.
Bestätigung der Einwilligung
Vielen Dank!
Freuen Sie sich auf interessante Produkte und Angebote.
Das Passwort muss mindestens 8 Zeichen lang sein und eine Zahl sowie ein Sonderzeichen enthalten.
Hier finden Sie die Hinweise zumDatenschutz.
* Bitte füllen Sie alle Pflichtfelder aus, um die Registrierung abzuschließen.
Registrieren Sie sich hier:

Vielen Dank. Ihr Benutzeraccount wurde erstellt. Um ihn zu verifizieren, ist noch ein kleiner Schritt nötig:
Sie haben eine E-Mail zum Aktivieren Ihres Benutzerkontos erhalten.
Bitte prüfen Sie Ihren Posteingang.
Vielen Dank für Ihre Registrierung!
Ihr Konto wurde erfolgreich aktiviert.
Hinweis
Wenn Sie Artikel kommentieren möchten, müssen Sie in IhremBenutzer:innenprofilnoch Ihren Namen und Ihren Nicknamen ergänzen. Dies können Sie jederzeit nachholen.
Leider konnte Ihr Konto nicht erfolgreich aktiviert werden. Eventuell ist der Aktivierungslink abgelaufen. Bitte versuchen Sie erneut, sich zu registrieren. Sollte das nicht funktionieren, wenden Sie sich bitte direkt an leserservice@vnp.de.
Bestätigung der Einwilligung
Vielen Dank!
Freuen Sie sich auf interessante Produkte und Angebote.
Das Passwort muss mindestens 8 Zeichen lang sein und eine Zahl sowie ein Sonderzeichen enthalten.
Hier finden Sie die Hinweise zumDatenschutz.
* Bitte füllen Sie alle Pflichtfelder aus, um die Registrierung abzuschließen.
Diplomatie
© Britta Pedersen/dpa
Bukarest-                                Die Ausladung von Bundespräsident Steinmeier wirkt nach. Kanzler Scholz verweigert deswegen eine Reise in die Ukraine. Steinmeier würde schon mit Präsident Selenskyj sprechen - wenn dieser denn wollte.
Trotz geplatzter Kiew-Reise: Bundespräsident Frank-Walter Steinmeier hat sich weiter offen für Gespräche mit dem ukrainischen Präsidenten Wolodymyr Selenskyj gezeigt.
""Wir Deutsche unterstützen die Ukraine aus vollem Herzen"", sagte er am Mittwoch in der rumänischen Hauptstadt Bukarest. Diese Unterstützung bringe er selbst bei bilateralen Besuchen wie jetzt in Rumänien zum Ausdruck - ""und natürlich auch im Austausch mit meinem ukrainischen Amtskollegen, wenn das möglich ist"".
Im April hatte eine Ausladung Steinmeiers durch die ukrainische Seite für einen geplanten Besuch in Kiew zusammen mit den Präsidenten Polens, Estlands, Lettlands und Litauens für erhebliche Verstimmungen gesorgt. Bundeskanzler Olaf Scholz (SPD) nannte diesen Vorgang am Mittwoch nach der Kabinettsklausur in Meseberg erneut als Grund dafür, dass er selbst nicht nach Kiew fährt. Dies hat inzwischen der CDU-Vorsitzende Friedrich Merz getan. Steinmeier hat auch mehrfach versucht, telefonisch mit Selenskyj Kontakt aufzunehmen, was aber bislang gescheitert ist.
Steinmeier war am Vormittag zu einem eintägigen Arbeitsbesuch in Bukarest eingetroffen. Staatspräsident Klaus Iohannis begrüßte ihn an seinem Amtssitz mit militärischen Ehren. Steinmeier versicherte ihm in der gemeinsamen Pressekonferenz deutschen Beistand im Fall einer russischen Aggression. ""Unsere Bündnissolidarität gilt ohne Wenn und Aber.""
Iohannis dankte dem Gast für die deutsche Unterstützung bei der Sicherung des rumänischen Luftraums durch Eurofighter der Luftwaffe. Rumänien hat im Norden und Südosten eine gemeinsame Grenze mit der Ukraine. Zugleich äußerte Iohannis den Wunsch nach einer Vertiefung der Zusammenarbeit einschließlich der Vorbereitung des Nato-Gipfels Ende Juni in Madrid, wo das Bündnis wichtige Entscheidungen zur Stärkung der Ostflanke treffen wolle.
Mit der eintägigen Reise nach Rumänien setzte der Bundespräsident eine Besuchsserie an die Ostflanke der Nato fort. Diese hatte ihn in den vergangenen Wochen nach Lettland, Litauen, Polen und in die Slowakei geführt. Dort betonte er regelmäßig, dass Deutschland zu seinen Bündnisverpflichtungen in der Nato stehe. Eigentlich eine Selbstverständlichkeit - aber wegen der als zögerlich empfundenen Linie von Kanzler Scholz bei der Unterstützung der Ukraine mit Waffen waren auch bei den östlichen Partnern Zweifel an der Zuverlässigkeit Deutschlands aufgekommen.
In Bukarest bedankte sich Steinmeier auch für das große Engagement bei der Aufnahme von Flüchtlingen. ""Das, was Rumänien leistet, nötigt uns Respekt ab."" Deutschland werde seine Hilfe ebenfalls fortsetzen. Dazu rief Steinmeier auch andere europäische Staaten auf. Die Aufnahme sei eine ""gesamteuropäische Aufgabe"", betonte er. Steinmeier sprach in Bukarest auch mit Engagierten aus der Flüchtlingsarbeit, besuchte eine Schule und sprach dort mit Kindern, die vor dem Krieg aus ihrer Heimat geflohen sind. Sie werden nach ukrainischen Lehrplänen unterrichtet. Ihnen verriet Steinmeier unter anderem, dass sein Lieblingsspielzeug sein Fahrrad sei.
Der Besuch in Rumänien war bereits zweimal wegen der Corona-Pandemie verschoben worden. Ursprünglich war er als dreitägiger Staatsbesuch geplant gewesen. Dass er jetzt auf einen eintägigen Arbeitsbesuch reduziert wurde, war auch dem Krieg in der Ukraine geschuldet. Man hebe sich den Staatsbesuch auf ""für Zeiten, die ruhiger sind"", sagte Steinmeier.
Weitere Angebote des Verlags Nürnberger Presse:
Copyright ©  2025 - Verlag Nürnberger Presse - All rights reserved",Positive
,Rumäniens Präsident verlangt Strafen für russische Gräuel in Ukraine,"IRPIN (dpa-AFX) - Rumäniens Staatspräsident Klaus Iohannis hat erneut verlangt, dass Gräueltaten Russlands in dessen Angriffskrieg gegen die Ukraine vor ein internationales Strafgericht gebracht w...",https://www.finanznachrichten.de/nachrichten-2022-06/56327214-rumaeniens-praesident-verlangt-strafen-fuer-russische-graeuel-in-ukraine-016.htm,finanznachrichten,general,de,de,2022-06-16T11:11:00+00:00,"IRPIN (dpa-AFX) - Rumäniens Staatspräsident Klaus Iohannis hat erneut verlangt, dass Gräueltaten Russlands in dessen Angriffskrieg gegen die Ukraine vor ein internationales Strafgericht gebracht werden. ""Ich erneuere mit Nachdruck meinen Appell dafür, dass alle russischen Täter von der internationalen Strafjustiz - die Rumänien voll unterstützt - zur Verantwortung gezogen werden"", twitterte Iohannis am Donnerstag nach einem Besuch in dem von russischem Beschuss stark beschädigten Kiewer Vorort Irpin. ""Es gibt keine Worte um die unvorstellbare menschliche Tragödie und die schrecklichen Zerstörungen zu beschreiben, die wir heute in Irpin gesehen haben"", schrieb Iohannis.
Iohannis hatte sich in Kiew Bundeskanzler Olaf Scholz, Frankreichs Präsident Emmanuel Macron und Italiens Ministerpräsident Mario Draghi angeschlossen. Die vier Politiker besuchten gemeinsam Irpin. Danach wollte die Gruppe den ukrainischen Präsidenten Wolodymyr Selenskyj treffen./kl/DP/stk",Positive
,Rumänien mit ukrainischem Getreideexport überfordert,"CONSTANTA (dpa-AFX) - Der russische Angriffskrieg auf die Ukraine hat das benachbarte EU-Land Rumänien mit der schwierigen Aufgabe konfrontiert, als Ausweichroute für den Export von ukrainischem Getreide zu dienen. Wegen der mangelhaften Transport-Infrastruktur hat Rumäniens Staatspräsident Klaus Iohannis jüngst dieses Problem als ""logistische Herausforderung von epischem Ausmaß"" bezeichnet. [mehr]",https://www.aktiencheck.de/news/Artikel-Rumaenien_ukrainischem_Getreideexport_ueberfordert-14585074,aktiencheck,general,de,de,2022-06-18T10:40:44+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,Umstrittene neue Justizgesetze in Rumänien treten in Kraft,"BUKAREST (dpa-AFX) - In Rumänien treten drei umstrittene Gesetze in Kraft, die nach Ansicht von Kritikern die Freiheit der Justiz beeinträchtigen. Staatspräsident Klaus Iohannis unterzeichnete am Dienstag die drei Gesetze. Das Parlament hatte das Gesetzespaket zuvor im Eilverfahren beschlossen, ohne ein Gutachten der Venedig-Kommission des Europarats abzuwarten, obwohl EU-Justizkommissar Didier Reynders im September dazu aufgerufen hatte, die Meinung dieses Gremiums zu berücksichtigen. [mehr]",https://www.aktiencheck.de/news/Artikel-Umstrittene_neue_Justizgesetze_Rumaenien_treten_Kraft-15028544,aktiencheck,general,de,de,2022-11-15T19:45:49+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
