author,title,description,url,source,category,language,country,published_at,full_text,sentiment
,"N Ireland’s power sharing system is ‘not fit for purpose’, says Irish PM",Micheál Martin calls for reform of governancearrangements enshrined in Good Friday accord,https://www.ft.com/content/e73205b7-669b-4076-a6ab-9e482b8e6f23,Financial Times,business,en,us,2022-10-30T21:00:20+00:00,[ERROR: 406 Client Error: Not Acceptable for url: https://www.ft.com/content/e73205b7-669b-4076-a6ab-9e482b8e6f23],NA
,Irish PM tests positive for Covid on US trip,Micheál Martin had been due to take part in the White House shamrock ceremony later on Thursday.,https://www.bbc.co.uk/news/world-europe-60776392?at_medium=RSS&at_campaign=KARANGA,BBC News - UK,general,en,gb,2022-03-17T10:47:53+00:00,"MicheÃ¡l Martin and Joe Biden met virtually after Mr Martin tested positive for Covid
US President Joe Biden has warned that too much ""blood, sweat and tears"" have been shed on the Good Friday Agreement to change it now.
He also praised the Irish government's response to the Ukrainian conflict in bringing in 7,000 refugees.
The president was speaking during a virtual meeting with Taoiseach (Irish Prime Minister) MicheÃ¡l Martin to celebrate St Patrick's Day.
The talks were held remotely after Mr Martin tested positive for Covid.
President Biden said he was disappointed the two leaders could not meet in person.
In reply the taoiseach said they met virtually last year across the Atlantic because of the pandemic and now they year were meeting virtually across the road.
President Biden then reaffirmed his government support for the Good Friday Agreement,the deal which ended the worst of almost 30 years of violenceknown as the Troubles.
""I want to emphasise this administration's unequivocal support for the Good Friday accord,"" he said
""I think too much blood, sweat and tears have been shed to get that done. And this is no time to change it.""
Mr Martin tested positive for Covid on Wednesday night
Both leaders also talked about Russia's invasion of Ukraine and the taoiseach praised the president's ""firm and measured"" response to the war
President Biden said he was impressed with the Republic of Ireland's response in brining in more than 7,000 Ukrainian refugees.
Mr Martin had to isolate after he was informed of a positive Covid test while attending the Ireland Fund dinner in Washington on Wednesday night.
At the time he was sitting alongside House of Representatives Speaker Nancy Pelosi and other guests.
The taoiseach had been due to receive an international leadership award at the event.
However, when the moment arrived Ireland's Ambassador to the United States, Dan Mulhall, took to the stage and confirmed the positive test.
He said Mr Martin had tested negative but then was re-tested after a member of his delegation received a positive result.
He said the taoiseach had re-tested out of an ""abundance of caution"" and added that he was in ""good form"" but very disappointed.
""It is a sad thing which I have to do which is to deliver the taoiseach's speech on his behalf,"" he said.
PARADES:St Patrick's Day events return after pandemic
FEATURE:America's most Irish towns celebrate
VIDEO:Bartenders toast 'book-end to pandemic craziness'
Social Democratic and Labour Party (SDLP) leader Colum Eastwood, who was at the dinner, said it was a big blow for the taoiseach.
""It is very sad. This is a major event for any taoiseach, going into the White House on St Patrick's Day, and that now won't happen. I feel very sorry for him,"" he said
He said the news had left everyone ""deflated"" at the dinner and with the taoiseach's office due to be rotated later this year, he said Mr Martin would not get another chance to celebrate St Patrick's Day in the White House.
The water in the White House north lawn fountain was turned green to mark St Patrick's Day in 2021
During the gala dinner on Wednesday, President Biden and Mrs Pelosi addressed the gathering.
Mrs Pelosi issued a warning to the UK over the Northern Ireland Protocol.
She said that if the ""border is hardened there will be no UK-US trade deal"".
She also warned against any move which ""imperils"" the Good Friday Agreement.
What is the Good Friday Agreement? Video, 00:04:28What is the Good Friday Agreement?
St Patrick's Day events return after pandemic
Trump says Iran's nuclear plans put back 'decades' by US strikes after report suggests impact limited
Watch: BBC's Lyse Doucet reports from Iran on the ceasefire with Israel
Damaged or destroyed - how much does leaked US report on Iran's nuclear sites tell us?
This burger was made in a lab from cow cellsâ¦ Should it really be served in restaurants?
Why Trump is targeting Spain over Nato spending
I lost Â£15,000 after going to an IVF middleman
Rod Stewart on Glastonbury: 'I wish they wouldn't call it the tea time slot'
Glastonbury 2025: Full line-up and stage times for the weekend
Dog-sized dinosaur that ran around feet of giants discovered
How a volatile 24 hours edged Iran and Israel to a ceasefire
Will 'sport's best dressed officials' be missed at Wimbledon?
Tech Decoded newsletter: The biggest developments in global technology, with analysis from BBC correspondents - sign up
Cillian Murphy stars in 28 Days Later
Glastonbury: Annie and Nick sit down with Loyle Carner
Who was behind the infamous robbery of Kim Kardashian?
How do professional buyers find quality food for less?
Eurostar passengers face severe delays and cancellations after cable theft
British man charged over mock Disneyland wedding to child had been investigated by BBC
Our neighbour threatened my dad with a knife - why won't the housing association act?
Damaged or destroyed - how much does leaked US report on Iran's nuclear sites tell us?
Left-wing Democrat stuns former governor in NY mayor primary
UK to buy nuclear-capable F-35A fighter jets
UK to host Trump for full state visit later this year
Three network phone calls down but data still working
US strikes did not destroy Iran nuclear programme, says intelligence assessment
Rod Stewart on Glastonbury: 'I wish they wouldn't call it the tea time slot'
Copyright Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Neutral
,Irish Energy Technology Company GridBeyond and Irish Prime Minister Meet to discuss Deployment of Artificial Intelligence-based Demand Response for Large Industrial Customers in Japan,"Today, Ireland's Prime Minister Micheál Martin will visit Japan to meet Prime Minister Fumio Kishida to renew collaboration agreements and further increase economic relationships between the two c...",https://www.finanznachrichten.de/nachrichten-2022-07/56592006-irish-energy-technology-company-gridbeyond-and-irish-prime-minister-meet-to-discuss-deployment-of-artificial-intelligence-based-demand-response-for-la-004.htm,finanznachrichten,general,de,de,2022-07-20T00:04:00+00:00,"Today, Ireland's Prime Minister Micheál Martin will visit Japan to meet Prime Minister Fumio Kishida to renew collaboration agreements and further increase economic relationships between the two countries. Key among the discussions is likely to be challenges and opportunities in energy markets for island nations.
The energy market in Japan is becoming more dynamic and complex, but this is creating significant opportunities for businesses to support the grid and change how they power their operations. During his visit, Mr. Martin will meet with GridBeyond representative Shunsuke Amanai to discuss the global energy crisis and to share lessons learned on how island markets can best manage volatility in a high renewables' future.
Japan's energy system is changing due to rising levels of renewable power and ongoing electricity market reforms. The result is a growing need for flexible resources to help balance the intermittency of renewables and help match demand and supply. In addition, like many markets across the globe, Japan is experiencing extreme tightness of electricity supply and demand. As a result, the government has been requesting power conservation. While action on the demand side of the market is relatively new in the Japanese market, this is a mature and proven industry in Ireland and the UK with C&I businesses able to gain revenues and make significant cost savings, provided they have the right technology in place.
Using artificial intelligence and data science, GridBeyond's solution enables businesses to participate in grid services and wholesale markets using their energy generation, storage and industrial load.
GridBeyond started activities in the Japanese market nearly a year ago. Last year, the company signed a Memorandum of Understanding with Chiyoda Corporation to roll out flexibility solutions for the Japanese electricity market and it is currently getting ready to open an office in the country later this year.
Michael Phelan, GridBeyond's CEO commented:
""Japan has a strong sustainable focus and aims to become carbon neutral by 2050. As renewable energies, energy storage, decentralised solar PV and EV mobility become more present in the energy landscape, services as the Demand Side Response become critical to support business and the grid operators to balance supply and demand of power, increase resilience and enable further integration of renewables into the energy mix.""

View source version on businesswire.com:https://www.businesswire.com/news/home/20220719006029/en/
Contacts:
Gabriella Di Salvopressoffice@gridbeyond.com",Positive
,Scholz warnt: Putin wartet auf Vorwand zur Besetzung der Ukraine,"BERLIN (dpa-AFX) - Bundeskanzler Olaf Scholz (SPD) hat der Regierung der Ukraine Respekt gezollt, weil sie sich bisher nicht von Russland habe provozieren lassen. ""Im UN-Sicherheitsrat haben wir und andere Staaten gestern Nacht bereits deutlich gemacht, dass Russland keinerlei Rückhalt hat in der Welt für sein Vorgehen"", sagte Scholz am Dienstag in Berlin bei einer Pressekonferenz mit dem irischen Ministerpräsidenten Micheál Martin. [mehr]",http://www.aktiencheck.de/news/Artikel-Scholz_warnt_Putin_wartet_auf_Vorwand_zur_Besetzung_Ukraine-14189912,aktiencheck,general,de,de,2022-02-22T11:45:57+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
mol-paz@madsack.de (RND Methode),„Verrat an Opfern aller Gewalt“: Irlands Premier kritisiert Amnestie-Pläne für Nordirland-Konflikt,"Beim Bloody-Sunday-Massaker 1972 in der nordirischen Stadt Derry wurden 13 friedliche Demonstrierende von britischen Soldaten erschossen. Auch gut 50 Jahre später gibt es noch keine Verurteilungen, obwohl London die Unrechtmäßigkeit bereits zugab. Nun soll die künftige Aufarbeitung verboten werden – Irlands Premier Micheál Martin ist empört.",http://www.paz-online.de/Nachrichten/Politik/Deutschland-Welt/Verrat-an-Opfern-aller-Gewalt-Irlands-Premier-kritisiert-Amnestie-Plaene-fuer-Nordirland-Konflikt,paz-online,general,de,de,2022-01-19T21:09:40+00:00,"Sind Sie bereits Abonnent?Hier anmelden
Sind Sie bereits Abonnent?Hier anmelden
Partner im RedaktionsNetzwerk Deutschland
Micheal Martin, Premierminister von Irland, spricht bei einer Veranstaltung der irischen Regierung. (Archivbild)
Quelle: Julien Behal Photography/PA Medi
Beim Bloody-Sunday-Massaker 1972 in der nordirischen Stadt Derry wurden 13 friedliche Demonstrierende von britischen Soldaten erschossen. Auch gut 50 Jahre später gibt es noch keine Verurteilungen, obwohl London die Unrechtmäßigkeit bereits zugab. Nun soll die künftige Aufarbeitung verboten werden – Irlands Premier Micheál Martin ist empört.
Dublin.Der irische Premierminister Micheál Martin hat die Amnestie-Pläne der britischen Regierung für Soldaten und ehemalige Paramilitärs im Nordirland-Konflikt kritisiert.
Britische Soldaten, die beispielsweise in die Tötung von Zivilisten beim Bloody-Sunday-Massaker 1972 verwickelt waren, müssten zur Rechenschaft gezogen werden, sagte Martin am Mittwoch im irischen Parlament in Dublin. „Das wäre komplett inakzeptabel, es wäre ein Verrat an den Opfern aller Gewalt“, sagte Martin weiter. Die Regierung in London habe die Aufarbeitung der Gewalt in Nordirland schon viel zu lange verschleppt.
Das Bloody-Sunday-Massaker in der nordirischen Stadt Derry, die offiziell Londonderry genannt wird, jährt sich am 30. Januar zum 50. Mal. Britische Soldaten eröffneten damals während eines weitgehend friedlichen Protestmarschs das Feuer auf Demonstranten. 13 Menschen starben dabei, 15 wurden verletzt. Obwohl die britische Regierung 2010 nach Veröffentlichung eines Untersuchungsberichts anerkannte, dass die Tötungen ungerechtfertigt waren, musste sich bis heute niemand vor Gericht dafür verantworten.
Nun will London einen Strich unter die juristische Aufarbeitung ziehen. Die im vergangenen Jahr vorgestellten Pläne sehen ein Verbot für weitere Verfahren im Zusammenhang mit der Gewalt während Konflikts vor. Sie werden jedoch von allen Seiten in der ehemaligen Bürgerkriegsregion abgelehnt.
Mehr zum Thema
Nordirlandist Teil des Vereinigten Königreichs. Die Gesellschaft dort ist aber tief gespalten in Protestanten, die sich als Briten verstehen und Katholiken, die sich als Iren definieren und eine Vereinigung des Landesteils mit der Republik Irland fordern. Drei Jahrzehnte lang lieferten sich militante Gruppen auf beiden Seiten sowie Polizei und das britische Militär einen erbitterten Bürgerkrieg mit Tausenden Toten, der erst 1998 endete.Unter anderem wegen des Brexits wuchsen die Spannungen dort zuletzt wieder.
RND/dpa",Positive
mol-dnn@madsack.de (RND Methode),„Omikron-Sturm überstanden“: Irland hebt fast alle Corona-Maßnahmen auf,"„Ich habe an vielen dunklen Tagen hier gestanden, aber heute ist ein guter Tag“, sagte Irlands Regierungschef Micheal Martin. Von Samstagmorgen an hebt sein Land fast alle Corona-Beschränkungen auf. Irland habe den „Omikron-Sturm“ überstanden, sagte Martin.",https://www.dnn.de/Nachrichten/Politik/Omikron-Sturm-ueberstanden-Irland-hebt-fast-alle-Corona-Massnahmen-auf,dnn-online,general,de,de,2022-01-21T21:50:27+00:00,"Sind Sie bereits Abonnent?Hier anmelden
Sind Sie bereits Abonnent?Hier anmelden
Partner im RedaktionsNetzwerk Deutschland
Von diesem Samstag an dürfen Pubs, Restaurants und Discos wieder öffnen, ohne Impfnachweise zu verlangen oder Abstandsregeln zu beachten, wie Regierungschef Micheal Martin am Freitagabend in Dublin sagte.
Quelle: Brian Lawless/PA Wire/dpa
„Ich habe an vielen dunklen Tagen hier gestanden, aber heute ist ein guter Tag“, sagte Irlands Regierungschef Micheal Martin. Von Samstagmorgen an hebt sein Land fast alle Corona-Beschränkungen auf. Irland habe den „Omikron-Sturm“ überstanden, sagte Martin.
Dublin.Irland hebt fast alle Corona-Regeln auf. Von diesem Samstag an dürfen Pubs, Restaurants und Discos wieder öffnen, ohne Impfnachweise zu verlangen oder Abstandsregeln zu beachten, wie Regierungschef Micheal Martin am Freitagabend in Dublin sagte.
Teilnehmerbeschränkungen für Veranstaltungen fallen ebenso weg wie Vorschriften für private Treffen. Vom kommenden Montag an endet zudem die Pflicht zum Homeoffice. Für internationale Reisen gelten allerdings noch immer die 3G-Regeln, wie Martin sagte. Wer positiv auf das Coronavirus getestet wird, muss sich weiterhin isolieren. Auch die Maskenpflicht bleibt mindestens bis Ende Februar in Kraft.
„Ich habe an vielen dunklen Tagen hier gestanden,aber heute ist ein guter Tag“, sagte Martin. Die Regierung werde die persönlichen Freiheiten nicht mehr beschränken, wenn dies nicht nötig sei. Irland habe den „Omikron-Sturm“ überstanden, sagte Martin. „Deshalb wird die Mehrheit der öffentlichen Gesundheitsmaßnahmen von 6.00 Uhr morgen früh an aufgehoben.“
Mehr zum Thema
Zuvor hatte die zuständige Gesundheitskommission grünes Licht gegeben. Wenn es keine gesundheitlichen Gründe mehr für Restriktionen gebe, bestehe auch keine politische Notwendigkeit mehr, sagte Vizeregierungschef Leo Varadkar.
RND/dpa",Positive
,Irischer Premier fordert Protestantenpartei zur Regierungsbildung auf,"DUBLIN/BELFAST (dpa-AFX) - Der irische Premierminister Micheal Martin hat die nordirische Protestantenpartei DUP aufgefordert, sich auf die Bildung einer Einheitsregierung in Nordirland einzulasse...",https://www.finanznachrichten.de/nachrichten-2022-05/55994461-irischer-premier-fordert-protestantenpartei-zur-regierungsbildung-auf-016.htm,finanznachrichten,general,de,de,2022-05-09T10:59:00+00:00,"DUBLIN/BELFAST (dpa-AFX) - Der irische Premierminister Micheal Martin hat die nordirische Protestantenpartei DUP aufgefordert, sich auf die Bildung einer Einheitsregierung in Nordirland einzulassen. Die DUP hatte nach dem historischen Wahlsieg der katholisch-republikanischen Partei Sinn Fein angekündigt, einer Einheitsregierung erst dann beizutreten, wenn der Streit um den Brexit-Status des zum Vereinigten Königreich gehörenden Landesteils gelöst ist.
Laut dem als Karfreitagsabkommen bekannten Friedensschluss von 1998 müssen sich die jeweils stärksten Parteien der beiden konfessionellen Gruppen in der früheren Bürgerkriegsprovinz auf eine Einheitsregierung einigen, andernfalls droht die politische Lähmung.
""Das war eine Wahl, bei der es um aktuelle Themen ging. Und daher denke ich, dass Parteien an Unterstützung verlieren könnten, wenn sie nicht auf das reagieren, was ihnen die Menschen an der Türschwelle gesagt haben"", sagte Martin dem irischen Sender RTÉ am Montag. Er fügte hinzu, es sei nun die Pflicht der Parteien, sich auf eine Regierung zu einigen. Im Wahlkampf hatten vor allem die steigenden Lebenshaltungskosten, Gesundheit und Wohnungsnot eine Rolle gespielt.
Auch die Regierungen in Großbritannien und den USA hatten die Parteien dazu aufgefordert, rasch eine Einheitsregierung zu bilden. Der britische Nordirland-Minister Brandon Lewis wollte sich noch am Montag mit Vertretern der wichtigsten Parteien treffen.
Das Wahlergebnis gilt als historisch: Mit dem starken Abschneiden Sinn Feins bei der Wahl steht erstmals einer Partei das Amt der Regierungschefin zu, die sich für die Loslösung Nordirlands von Großbritannien und eine Vereinigung mit der Republik Irland einsetzt./cmy/DP/eas",Positive
,Scholz: Jetzt keine Zertifizierung von Nord Stream 2,"BERLIN (dpa-AFX) - Kanzler Olaf Scholz (SPD) hat den vorläufigen Stopp für die umstrittene russisch-deutsche Gaspipeline Nord Stream 2 mit den jüngsten Entscheidungen von Russlands Präsident Wladimir Putin in der Krise mit der Ukraine begründet. ""Die Lage ist heute eine grundlegend andere"", sagte Scholz am Dienstag in Berlin nach einem Treffen mit Irlands Ministerpräsidenten Micheál Martin. [mehr]",http://www.aktiencheck.de/news/Artikel-Scholz_Jetzt_keine_Zertifizierung_von_Nord_Stream_2-14189901,aktiencheck,general,de,de,2022-02-22T11:40:52+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,Irischer Premier Martin wirft 'Tyrann' Putin Kriegsverbrechen vor,"DUBLIN (dpa-AFX) - Der irische Regierungschef Micheal Martin hat dem russischen Präsidenten Wladimir Putin angesichts des Angriffs auf die Ukraine Kriegsverbrechen vorgeworfen. ""Wladimir Putin, ein Tyrann und Verbrecher, hat einen grundlosen und nicht zu rechtfertigenden Krieg gegen die Menschen der Ukraine begonnen und dabei Kriegsverbrechen begangen, wie wir gerade sehen"", sagte der Regierungschef am Dienstag im irischen Parlament in Dublin. [mehr]",http://www.aktiencheck.de/news/Artikel-Irischer_Premier_Martin_wirft_Tyrann_Putin_Kriegsverbrechen-14216455,aktiencheck,general,de,de,2022-03-01T17:15:57+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
mol-oz@madsack.de (RND Methode),„Omikron-Sturm überstanden“: Irland hebt fast alle Corona-Maßnahmen auf,"„Ich habe an vielen dunklen Tagen hier gestanden, aber heute ist ein guter Tag“, sagte Irlands Regierungschef Micheal Martin. Von Samstagmorgen an hebt sein Land fast alle Corona-Beschränkungen auf. Irland habe den „Omikron-Sturm“ überstanden, sagte Martin.",http://www.ostsee-zeitung.de/Nachrichten/Politik/Omikron-Sturm-ueberstanden-Irland-hebt-fast-alle-Corona-Massnahmen-auf,ostsee-zeitung,general,de,de,2022-01-21T21:50:27+00:00,"Sind Sie bereits Abonnent?Hier anmelden
Sind Sie bereits Abonnent?Hier anmelden
Partner im RedaktionsNetzwerk Deutschland
Von diesem Samstag an dürfen Pubs, Restaurants und Discos wieder öffnen, ohne Impfnachweise zu verlangen oder Abstandsregeln zu beachten, wie Regierungschef Micheal Martin am Freitagabend in Dublin sagte.
Quelle: Brian Lawless/PA Wire/dpa
„Ich habe an vielen dunklen Tagen hier gestanden, aber heute ist ein guter Tag“, sagte Irlands Regierungschef Micheal Martin. Von Samstagmorgen an hebt sein Land fast alle Corona-Beschränkungen auf. Irland habe den „Omikron-Sturm“ überstanden, sagte Martin.
Dublin.Irland hebt fast alle Corona-Regeln auf. Von diesem Samstag an dürfen Pubs, Restaurants und Discos wieder öffnen, ohne Impfnachweise zu verlangen oder Abstandsregeln zu beachten, wie Regierungschef Micheal Martin am Freitagabend in Dublin sagte.
Teilnehmerbeschränkungen für Veranstaltungen fallen ebenso weg wie Vorschriften für private Treffen. Vom kommenden Montag an endet zudem die Pflicht zum Homeoffice. Für internationale Reisen gelten allerdings noch immer die 3G-Regeln, wie Martin sagte. Wer positiv auf das Coronavirus getestet wird, muss sich weiterhin isolieren. Auch die Maskenpflicht bleibt mindestens bis Ende Februar in Kraft.
„Ich habe an vielen dunklen Tagen hier gestanden,aber heute ist ein guter Tag“, sagte Martin. Die Regierung werde die persönlichen Freiheiten nicht mehr beschränken, wenn dies nicht nötig sei. Irland habe den „Omikron-Sturm“ überstanden, sagte Martin. „Deshalb wird die Mehrheit der öffentlichen Gesundheitsmaßnahmen von 6.00 Uhr morgen früh an aufgehoben.“
Mehr zum Thema
Zuvor hatte die zuständige Gesundheitskommission grünes Licht gegeben. Wenn es keine gesundheitlichen Gründe mehr für Restriktionen gebe, bestehe auch keine politische Notwendigkeit mehr, sagte Vizeregierungschef Leo Varadkar.
RND/dpa",Positive
