author,title,description,url,source,category,language,country,published_at,full_text,sentiment
,Tschechien verteidigt Grenzkontrollen zur Slowakei,"PRAG (dpa-AFX) - Der tschechische Ministerpräsident Petr Fiala hat die Kontrollen an der Grenze zur Slowakei zur Bekämpfung der illegalen Migration verteidigt. ""Diese Maßnahme, die wir ergriffen haben, funktioniert tatsächlich"", sagte der liberalkonservative Politiker am Mittwoch in Prag. [mehr]",https://www.aktiencheck.de/news/Artikel-Tschechien_verteidigt_Grenzkontrollen_zur_Slowakei-15008150,aktiencheck,general,de,de,2022-11-09T15:05:51+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,Czech government approves plan to skim revenue from electricity producers,"(marketscreener.com) The Czech government approved plans for revenue caps on prices charged by electricity producers as it seeks to raise tens of billions of crowns to pay for planned measures to ease the burden of soaring energy prices, Prime Minister Petr Fiala said on Wednesday.https://www.marketscreener.com/news/latest/Czech-government-approves-plan-to-skim-revenue-from-electricity-producers--42255056/?utm_medium=RSS&utm_content=20221109",https://www.marketscreener.com/news/latest/Czech-government-approves-plan-to-skim-revenue-from-electricity-producers--42255056/?utm_medium=RSS&utm_content=20221109,4-traders,general,en,us,2022-11-09T13:02:07+00:00,[ERROR: 403 Client Error: Forbidden for url: https://www.marketscreener.com/news/latest/Czech-government-approves-plan-to-skim-revenue-from-electricity-producers--42255056/?utm_medium=RSS&utm_content=20221109],NA
Reuters News Service,Ukraine says it will press on with Black Sea grain deal,Ukrainian President Volodymyr Zelenskiy said on Monday that his country would continue exporting grain from its Black Sea ports under a UN programme despite Russia&#8217;s pullout because the shipments offered stability to world food markets. He made his comments following talks with Czech Prime Minister Petr Fiala. Russia announced on Saturday that...,https://cyprus-mail.com/2022/10/31/ukraine-says-it-will-press-on-with-black-sea-grain-deal/,cyprus-mail,general,en,us,2022-10-31T19:11:20+00:00,"Ukrainian President Volodymyr Zelenskiy said on Monday that his country would continue exporting grain from its Black Sea ports under a UN programme despite Russia’s pullout because the shipments offered stability to world food markets.
He made his comments following talks with Czech Prime Minister Petr Fiala. Russia announced on Saturday that it was suspending its role in the U.N.-backed initiative that escorts cargo ships through the Black Sea.
“On our side, we are continuing with the grain initiative because we understand what we offer the world. We offer stability on the food production market,” Zelenskiy told a joint news conference alongside Fiala.
Zelenskiy said he believed Russia had left the agreement despite the fact that Moscow said it had only “suspended” its participation.
“This means that it was Russia that is violating the agreement,” Zelenskiy said. “Let’s hope that our partners will be able to calm down Russia’s rhetoric.”
Russia said on Monday it was “unacceptable” for shipping to pass through a Black Sea security corridor as Ukraine was using it to “conduct military operations against the Russian Federation”.
In his comments, Zelenskiy also drew attention to a document signed with the Czech prime minister aimed at increasing cooperation to reach standards needed for Ukraine to secure membership of the North Atlantic Treaty Organisation (NATO).
Ukraine’s bid to gain NATO membership has been denounced as unacceptable by Russia and was one of the key reasons cited by Moscow in justifying its invasion of its neighbour.",Positive
Reuters,Ukraine says it will press on with Black Sea grain deal,KYIV &#8212; Ukrainian President Volodymyr Zelenskiy said on Monday that his country would continue exporting grain from its Black Sea ports under a U.N. program despite Russia&#8217;s pullout because the shipments offered stability to world food markets. He made his comments following talks with Czech Prime Minister Petr Fiala. Russia announced on Saturday that it [&#8230;],https://nationalpost.com/pmn/news-pmn/ukraine-says-it-will-press-on-with-black-sea-grain-deal-2,nationalpost,general,en,us,2022-10-31T18:47:44+00:00,[ERROR: 403 Client Error: Forbidden for url: https://nationalpost.com/pmn/news-pmn/ukraine-says-it-will-press-on-with-black-sea-grain-deal-2],NA
,Ukrainisches und tschechisches Kabinett tagen gemeinsam in Kiew,KIEW/PRAG (dpa-AFX) - Trotz der neuen russischen Raketenangriffe auf die Ukraine ist Tschechiens Ministerpräsident Petr Fiala am Montag mit sieben Ministern nach Kiew gereist. Dort stand eine geme...,https://www.finanznachrichten.de/nachrichten-2022-10/57444733-ukrainisches-und-tschechisches-kabinett-tagen-gemeinsam-in-kiew-016.htm,finanznachrichten,general,de,de,2022-10-31T11:35:00+00:00,"KIEW/PRAG (dpa-AFX) - Trotz der neuen russischen Raketenangriffe auf die Ukraine ist Tschechiens Ministerpräsident Petr Fiala am Montag mit sieben Ministern nach Kiew gereist. Dort stand eine gemeinsame Sitzung mit dem ukrainischen Kabinett auf dem Programm - eine Premiere seit Beginn des russischen Angriffskriegs auf das Nachbarland vor mehr als acht Monaten. Tschechien hat noch bis zum Jahresende in der EU die Präsidentschaft inne.
Unter der liberalkonservativen Regierung hat das EU- und Nato-Land in diesem Jahr bereits Rüstungsgüter im Wert von umgerechnet mehr als 1,9 Milliarden Euro an die Ukraine geliefert. Am Sonntag waren Zehntausende in Prag auf der Straße, um Solidarität mit der Ukraine zu bekunden und die Politik ihrer Regierung zu unterstützen./hei/DP/ngu",Positive
,Ukrainisches und tschechisches Kabinett tagen gemeinsam in Kiew,KIEW/PRAG (dpa-AFX) - Trotz der neuen russischen Raketenangriffe auf die Ukraine ist Tschechiens Ministerpräsident Petr Fiala am Montag mit sieben Ministern nach Kiew gereist. Dort stand eine gemeinsame Sitzung mit dem ukrainischen Kabinett auf dem Programm - eine Premiere seit Beginn des russischen Angriffskriegs auf das Nachbarland vor mehr als acht Monaten. [mehr],https://www.aktiencheck.de/news/Artikel-Ukrainisches_und_tschechisches_Kabinett_tagen_gemeinsam_Kiew-14972149,aktiencheck,general,de,de,2022-10-31T11:30:48+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
The Associated Press,Tens of thousands of Czechs show their support for Ukraine,PRAGUE (AP) &#8212; Tens of thousands of Czechs gathered in the capital on Sunday to demonstrate their solidarity with Ukraine and their support for democratic values. The rally took place in reaction to three recent anti-government demonstrations where other protesters demanded the resignation of the pro-Western coalition government of conservative Prime Minister Petr Fiala for [&#8230;],https://nationalpost.com/pmn/news-pmn/tens-of-thousands-of-czechs-show-their-support-for-ukraine,nationalpost,general,en,us,2022-10-30T18:31:09+00:00,[ERROR: 403 Client Error: Forbidden for url: https://nationalpost.com/pmn/news-pmn/tens-of-thousands-of-czechs-show-their-support-for-ukraine],NA
2015006,Hyundai Motor chief requests Slovakia’s support for Busan’s Expo bid,"Hyundai Motor Group Executive Chair Chung Euisun visited Slovakia to request its support for South Korean port city Busan&rsquo;s bid to host the World Expo in 2030, to the auto giant said Sunday. Chung visited Slovakia on the leg of his European trip to meet country leaders. He met with Czech Prime Minister Petr Fiala last week. Slovakia holds a significant status as the chair country of Visegrad Group, a cultural and political alliance of four Central European countries that also includes Czec",https://www.koreaherald.com/view.php?ud=20221030000188,koreaherald,general,en,us,2022-10-30T04:55:06+00:00,"BusinessHyundai Motor chief requests Slovakia’s support for Busan’s Expo bid

Published : Oct. 30, 2022 - 13:54:55

Link copied!
National Desk Social Affairs Team Leader
Hyundai Motor Group Executive Chair Chung Euisun visited Slovakia to request its support for South Korean port city Busan’s bid to host the World Expo in 2030, to the auto giant said Sunday.
Chung visited Slovakia on the leg of his European trip to meet country leaders. He met with Czech Prime Minister Petr Fiala last week.
Slovakia holds a significant status as the chair country of Visegrad Group, a cultural and political alliance of four Central European countries that also includes Czech Republic, Hungary and Poland.
Slovakian Prime Minister Eduard Heger, Vice Minister for Economy Peter Svec and other key officials attended the meeting with Chung, where they discussed Busan’s competitiveness to host the global event as well as the Korean carmaker’s business operations in Slovakia.
“Busan is South Korea’s largest port city and a logistics hub that connects Eurasia and Pacific Ocean. The city owns countless experience of hosting various large-scale international and cultural events, making itself as a qualified candidate to host World Expo,” Chung told Slovakian officials.
Hyundai Motor Group said Chung also shared ideas on carmaker's local activities to support communities, such as bike sharing project Bike Kia, and industry-academy collaboration programs to nurture talent for Slovakia’s automotive industry.
Kia’s Slovakian manufacturing facility works as Europe’s major production base for the Korean carmaker. Since its opening in December 2006, an accumulated 4 million vehicles including popular models like Sportage and market-targeting models like CUVs have been produced there.
Child soldiers of Korean War still waiting for recognition
Park Tae-seung, 92, vividly remembers the day he was conscripted into the South Korean military to fight against North Koreans. It was 75 years ago, near the end of August 1950.
Court dismisses detention warrant for Yoon over martial law case: special counsel
Skilled immigration, Japan ties key to rebooting Korea’s growth: KCCI
Man's wrongful spy charges overturned, 58 years after execution
H1-Key enchants with summer nostalgia
FX artist Lee Jae-jun makes waves at Pixar
Herald Interview
SMRs return to Korea’s energy mix amid AI-driven power surge
KH Explains
Oddities
From the funny to the strange
and downright unbelievable
100 Food Challenge
100 foods to try: Are you up to the challenge?
Inside Gen Z
Giving Korea's new generation a voice
Herald Interview
A series of in-depth interviews.
Apple joins Google in push to export Korea's high-precision map data
US may target Samsung, Hynix, TSMC operations in China, sources say
Turning homes into experiences: Apartmentary makes global push for 'K-interior'
Lee turns to technocrats as Korea pushes for AI leadership
S. Korea has 10th-most millionaires in world
Korean students seek 'digital undertakers' amid US visa social media screening
Why can't Korean children play more?
Lee turns to technocrats as Korea pushes for AI leadership
Turning homes into experiences: Apartmentary makes global push for 'K-interior'
BTS’ Jin to livestream fan concert on big screens worldwide
Address : Huam-ro 4-gil 10, Yongsan-gu,Seoul, KoreaTel : +82-2-727-0114Online newspaper registration No : Seoul 아03711
Date of registration : 2015.04.28Publisher. Editor : Choi Jin-YoungJuvenile Protection Manager : Choi He-suk
The Korea Herald by Herald Corporation. Copyright Herald Corporation. All Rights Reserved.",Positive
,"Praga, migliaia in piazza contro il governo che sostiene Kiev. E sulla facciata del ministero dell’Interno ceco appare la bandiera di Putin morto","Migliaia di persone sono scese in piazza oggi, 28 ottobre, a Praga per protestare contro il governo guidato dal premier Petr Fiala, chiedendone le dimissioni, le elezioni anticipate e di aggirare le sanzioni sostenute dall’Unione Europea contro la Russia e di acquistare gas direttamente da Mosca. A partecipare alla mobilitazione sono stati princi...",https://www.zazoom.it/2022-10-28/praga-migliaia-in-piazza-contro-il-governo-che-sostiene-kiev-e-sulla-facciata-del-ministero-dellinterno-ceco-appare-la-bandiera-di-putin-morto/11826457/,zazoom,general,it,it,2022-10-28T23:26:45+00:00,"di Redazione JuventusNews24Hojlund Juve, i bianconeri sperano ancora nellâingaggio del danese? Amori... ►juventusnews24.com
Â«Ieri sono stato convocato dal mio direttore Paolo Corsini, pensavo che mi rassicurasse sul fatto ch... ►gazzettadelsud.it
Con il decreto-legge 45 del 2025, di recente approvazione, sono state previste misure chiare e defi... ►iltempo.it
La sovrana ha accolto i capi di stato e di governo dei paesi membri della Nato con un outfit sgargia... ►vanityfair.it
Ã scontro tra la Rai e Sigfrido Ranucci, giornalista e volto del programma d'inchiesta Report in o... ►today.it
Daspo di quattro anni al padre di un giovane calciatore della Vis Pesaro che domenica 8 giugno sco... ►arezzonotizie.it
Lampioni accesi tutto il giorno nel quartiere Fuorni, a Salerno. La segnalazione arriva in redazio... ►salernotoday.it
Durante un intervento chirurgico mininvasivo lo scorso 6 giugno al Policlinico Tor Vergata di Roma... ►today.it
Le anticipazioni riguardanti il nuovo film del Marvel Cinematic Universe, âAvengers: Doomsdayâ, sta... ►jumptheshark.it
La scena dellâanimazione nelle serie animate puÃ² essere un elemento distintivo che evidenzia la cre... ►jumptheshark.it
PerchÃ© piazza Ariostea sÃ¬ e lo stadio Paolo Mazza no? PerchÃ© i concerti â con annesse polemiche va... ►ferraratoday.it
Matera, Rubano e Coletta ricordano con affetto il presidente del Consiglio comunale di Vitulano In ... ►fremondoweb.com
Schiarita in vista per la Sangiovannese calcio, alle prese con il passaggio di proprietÃ  dopo la r... ►arezzonotizie.it
Dopo il successo degli anni scorsi, si rinnova anche per lâestate in corso âAgropoli in tourâ, il ... ►salernotoday.it
âIl raid a Fordow ha messo fine alla guerra, essenzialmente Ã¨ stata la stessa cosa di Hiroshima e ... ►ilfattoquotidiano.it
Lucca Comics & Games svela le prime novitÃ  in vista dellâedizione 2025, tra cui lâanteprima di... ►spettacolo.eu
Il Campo Sportivo di Grezzano, a Borgo San Lorenzo, si prepara ad accogliere uno degli appuntament... ►firenzetoday.it
di RedazioneEderson Inter, lâAtalanta spara un prezzo folle: il centrocampista piace ai nerazzurri

... ►internews24.com
Stamane il sub commissario al risanamento Santi Trovato ha incontrato il presidente della V Munici... ►messinatoday.it
Sono stati proclamati questa mattina tutti i vincitori dellâottava edizione del Premio Pino e Amil... ►frosinonetoday.it
di Redazione JuventusNews24Mercato Juventus: quel club vuole cederlo lÃ¬! Ma lâattaccante gradirebbe ... ►juventusnews24.com
LECCE - Il clan dei ""mesagnesi"" della Scu ha battuto cassa, lo Stato ha risposto: chieste condanne... ►brindisireport.it
ll 3 luglio partirÃ  la nuova, e molto attesa, stagione di Temptation Island. Il capitano del viagg... ►today.it
Arriva il parere negativo, da parte del Comitato tecnico regionale di valutazione di impatto ambie... ►veneziatoday.it
Tempo di lettura:  2 minutiâLâagricoltura europea Ã¨ sotto attacco e non possiamo restare in silenzi... ►anteprima24.it
Tassisti verso lo sciopero. Questo quanto stabilito durante l'assemblea sindacale di lunedÃ¬. Le mo... ►firenzetoday.it
Il socialista Zohran Mamdani ha vinto a sorpresa le primarie per scegliere il candidato a sindaco d... ►tpi.it
Ã stato condannato allâergastolo anche in appello Alessandro Impagnatiello, reo confesso dellâomici... ►lettera43.it
Le catene di supermercati Coop, DecÃ² ed Esselunga hanno segnalato il richiamoÂ urgente di ben 11 lo... ►today.it
di RedazioneCarlos Augusto Ã¨ finito nel mirino dellâAtletico Madrid: lâesterno piace a Simeone, ecco... ►internews24.com
Dove câerano sorrisi, adesso regna il silenzio. Dove câera complicitÃ , ora sembrano esserci... ►donnapop.it
Le torri, le porte e le fortezze di Firenze hanno infinite storie da raccontare: storie di guerra ... ►firenzetoday.it
Secondo rimpasto per Gualtieri a Roma: entra Pino Battaglia in giunta, Ruberti diventa direttore ge... ►fanpage.it
VenerdÃ¬ 27 giugno verrÃ  pagato l'assegno di inclusione e per molti beneficiari sarÃ  l'ultimo accre... ►today.it
Eâ stato celebrato e approfondito, con un video collegamento tra Palazzo Zanca e il Parlamento Eur... ►messinatoday.it
Ecco che cosa ci rivelano le Anticipazioni della Puntata de La forza di una donna in onda il 26 giug... ►comingsoon.it
Il metodo ruota attorno a sessioni di lavoro mirate con brevi pause frequenti, con l'obiettivo di a... ►ilgiornale.it
Fascia destra e sinistra, centrale di difesa e soprattutto la mediana da rinnovare. I sei nomi sul t... ►gazzetta.it
Il rione Sant'Antonio si prepara a chiudere in bellezza la stagione primaverile ed estiva delle ce... ►firenzetoday.it
Il film Old Guy, diretto da Simon West, si distingue come unâaction comedy di grande impatto, uscit... ►jumptheshark.it
La star di Pirati dei Caraibi e Il signore degli anelli sarÃ  presente alla cerimonia matrimoniale de... ►movieplayer.it
Alessandro Impagnatiello Ã¨ stato condannato all'ergastolo anche in appello. I giudici di secondo g... ►today.it
Sono 45 su 46 i concorrenti ammessi alla gara per i lavori di restauro e riqualificazione del Cast... ►ferraratoday.it
Si muove con cautela il gas naturale sulla piazza Ttf di Amsterdam, mantenendosi sotto quota 36 eur... ►quotidiano.net
Un ragazzo norvegese di 21 anni,Â Mads Mikkelsen, ha denunciato di essere stato respinto alla front... ►today.it
Le colline di Scandicci si preparano ad accogliere uno degli eventi piÃ¹ attesi dell'estate: la 25Âª... ►firenzetoday.it
CâÃ¨ tempo fino al 30 settembre 2025 a Cascina per la presentazione delle domande per lâassegnazion... ►pisatoday.it
Sean âDiddyâ Combs, noto prima come Puff Daddy poi come P. Diddy, ha confermato in aula che non tes... ►quotidiano.net
Accolta con soddisfazione dalla Fials di Salerno la sottoscrizione, avvenuta in Prefettura, del pr... ►salernotoday.it
Â«Facevo il professore a Firenze, quando Ã¨ stato firmato lâaumento delle spese militari per la Nato... ►secoloditalia.it
Troppo vecchio e con troppa peluria sul volto per fan dei fumetti duri e puri, ma Pedro Pascal non s... ►movieplayer.it
Alla Juventus Ã¨ cambiato tanto negli ultimi mesi. Dallâarrivo in panchina di Igor Tudor al recente ... ►stilejuventus.com
Sabato 28 giugno 2025 il Museo Archeologico Nazionale di Eboli ospiterÃ , a partire dalle ore 17.00... ►salernotoday.it
di Redazione JuventusNews24Pioli dice addio allâAl Nassr: prima dellâapprodo alla Fiorentina, riceve... ►juventusnews24.com
Joseph Kosinski ha speso parole al miele per il protagonista del suo ultimo film, inserendolo tra le... ►movieplayer.it
Alvaro Morata Ã¨ ormai a un passo dal club di Serie A: lâintesa Ã¨ sempre piÃ¹ vicina cosÃ¬ come reso n... ►rompipallone.it
La Juventus cerca un nuovo centravanti sul mercato, in attesa di sciogliere il nodo legato al futuro... ►calciomercato.com
Arezzo, 25 giugno 2025 â Â Â«La nostra assemblea nasce come iniziativa popolare, nata dai cittadini e... ►lanazione.it
L'assassino reo confesso, giÃ  condannato all'ergastolo in primo grado, puntava a una riduzione de... ►milano.corriere.it
Dal curriculum fasullo scritto in Corea del Nord alle campagne filo-Cremlino su Telegram, passando ... ►repubblica.it
Il mondo della gastronomia si arricchisce ogni anno di nuove visioni architettoniche che trasforman... ►nonewsmagazine.com
Il Milan Ã¨ molto vicino a chiudere il colpo Samuele Ricci. I contatti di questa mattina tra la dirig... ►calciomercato.com
Zazoom Social News Â© 2011 - 2025 -Zazoom|Social News|Guida Tv|Cruciverba|Chi Siamo|Cosa Ã¨|Terms-Policy|Seguici|Preferenze Cookie|",NA
2021033,Hyundai Motor chief asks Czech PM to support Busan 2030 Expo,"Chung Euisun, chairman of Hyundai Motor Group, visited the Czech Republic to ask for the country&#039;s support for Busan&rsquo;s bid to host the 2030 World Expo, according to the carmaker on Friday. In the meeting with Czech Prime Minister Petr Fiala, Chung explained Busan&rsquo;s competitiveness and the port city&rsquo;s future vision for hosting the global event. &ldquo;Busan Expo seeks nature-friendly life and technology innovation to prepare for a sustainable future and resolve global issue",https://www.koreaherald.com/view.php?ud=20221028000536,koreaherald,general,en,us,2022-10-28T06:50:06+00:00,"BusinessHyundai Motor chief asks Czech PM to support Busan 2030 Expo

Published : Oct. 28, 2022 - 15:45:16

Link copied!
Style, Eat, Travel
Chung Euisun, chairman of Hyundai Motor Group, visited the Czech Republic to ask for the country's support for Busan’s bid to host the 2030 World Expo, according to the carmaker on Friday.
In the meeting with Czech Prime Minister Petr Fiala, Chung explained Busan’s competitiveness and the port city’s future vision for hosting the global event.
“Busan Expo seeks nature-friendly life and technology innovation to prepare for a sustainable future and resolve global issues. South Korea is a country with technological leadership and capabilities to suggest a solution to challenges that humanity faces,” Chung was quoted as saying in a Hyundai Motor statement.
They also discussed cooperation for the sustainable growth of Hyundai Motor’s manufacturing plant in the European country.
Hyundai’s plant in the Czech Republic is emerging as an important base to lead the automaker’s production of eco-friendly vehicles in Europe, which has decided to ban sales of combustion engine cars starting from 2035, according to officials.
Child soldiers of Korean War still waiting for recognition
Park Tae-seung, 92, vividly remembers the day he was conscripted into the South Korean military to fight against North Koreans. It was 75 years ago, near the end of August 1950.
Court dismisses detention warrant for Yoon over martial law case: special counsel
Skilled immigration, Japan ties key to rebooting Korea’s growth: KCCI
Man's wrongful spy charges overturned, 58 years after execution
H1-Key enchants with summer nostalgia
FX artist Lee Jae-jun makes waves at Pixar
Herald Interview
SMRs return to Korea’s energy mix amid AI-driven power surge
KH Explains
Oddities
From the funny to the strange
and downright unbelievable
100 Food Challenge
100 foods to try: Are you up to the challenge?
Inside Gen Z
Giving Korea's new generation a voice
Herald Interview
A series of in-depth interviews.
Apple joins Google in push to export Korea's high-precision map data
US may target Samsung, Hynix, TSMC operations in China, sources say
Turning homes into experiences: Apartmentary makes global push for 'K-interior'
Lee turns to technocrats as Korea pushes for AI leadership
S. Korea has 10th-most millionaires in world
Korean students seek 'digital undertakers' amid US visa social media screening
Why can't Korean children play more?
Lee turns to technocrats as Korea pushes for AI leadership
Turning homes into experiences: Apartmentary makes global push for 'K-interior'
BTS’ Jin to livestream fan concert on big screens worldwide
Address : Huam-ro 4-gil 10, Yongsan-gu,Seoul, KoreaTel : +82-2-727-0114Online newspaper registration No : Seoul 아03711
Date of registration : 2015.04.28Publisher. Editor : Choi Jin-YoungJuvenile Protection Manager : Choi He-suk
The Korea Herald by Herald Corporation. Copyright Herald Corporation. All Rights Reserved.",Positive
