author,title,description,url,source,category,language,country,published_at,full_text,sentiment
Marija Milutinović,Plenković danas sa štabom o situaciji sa korona virusom: Moguće uvođenje novih mera,"Na prvoj sednici hrvatske vlade nakon godišnjeg odmora premijer Andrej Plenković je zahvalio vatrogascima, policiji, vojsci i HGS S-u, koji su se proteklih meseci borili sa mnogim požarima i najavio da će danas sa Štabom civilne zaštite razgovarati o mogućim merama zaštite od korona virusa u narednom periodu.",https://www.telegraf.rs/vesti/jugosfera/3542873-plenkovic-danas-sa-stabom-o-situaciji-sa-korona-virusom-moguce-uvodjenje-novih-mera,Telegraf,general,en,rs,2022-08-18T10:16:23+00:00,"Na prvoj sednici hrvatske vlade nakon godišnjeg odmora premijerAndrej Plenkovićje zahvalio vatrogascima, policiji, vojsci i HGS S-u, koji su se proteklih meseci borili sa mnogim požarima i najavio da će danas sa Štabom civilne zaštite razgovarati o mogućim merama zaštite od korona virusa u narednom periodu.
- Po broju novozaraženih, hospitalizovanih i preminulih imamo jasno signale da moramo biti itekako oprezni. Virus je i dalje tu i opasan je za one najosetljivije. Važno je da se svi ponašaju prema preporukama - rekao je premijer na otvorenom delu sednice.
Što se letne sezone tiče, Plenković je rekao da je Hrvatska ove godine ostvarila za dva odsto veće prihode u odnosu na 2019. godinu.
(Telegraf.rs)
Pošaljite nam Vaše snimke, fotografije i priče na broj telefona+381
                    64 8939257(WhatsApp/Viber/Telegram).
Telegraf.rs zadržava sva prava nad sadržajem. Za preuzimanje sadržaja
            pogledajte uputstva na straniciUslovi
                korišćenja.
Da li želite da dobijate obaveštenja o najnovijim vestima?",Positive
Miloš Dojčinović,"Plenković brani pilote koji su optuženi za bombardovanje izbegličkih kolona: ""To nije prihvatljivo""","Hrvatski premijer Andrej Plenković poručio je danas u Kninu da najavljene optužnice iz Beograda protiv hrvatskih pilota nisu prihvatljive za zvanični Zagreb, tim pre jer, kako je naveo, ""dolaze iz države koja je pokrenula agresiju na Hrvatsku i koja ne priznaje svoju odgovornost u zločinačkom poduhvatu Miloševićevog režima"".",https://www.telegraf.rs/vesti/jugosfera/3536859-plenkovic-brani-pilote-koji-su-optuzeni-za-bombardovanje-izbeglickih-kolona-to-nije-prihvatljivo,Telegraf,general,en,rs,2022-08-05T09:29:07+00:00,"Hrvatski premijerAndrej Plenkovićporučio je danas u Kninu danajavljene optužnice iz Beograda protiv hrvatskih pilotanisu prihvatljive za zvanični Zagreb, tim pre jer, kako je naveo, ""dolaze iz države koja je pokrenula agresiju na Hrvatsku i koja ne priznaje svoju odgovornost u zločinačkom poduhvatu Miloševićevog režima"".
Ova poruka Plenkovića na obeležavanju 27. godišnjice od oružane akcije Oluja, tokom koje je iz Hrvatske proterano 250.000 Srbija, dok je 2.000 poginulo ili se i danas vode kao nestali, propraćena je snažnim aplauzom prisutnih na kninskom stadionu Dinara, prenosi Tanjug.
On je rekao da se ponavljaju pokušaji da se Hrvatska prikaže i optuži za proterivanje srpskog stanovništva sa hrvatske teritorije, što tvrdi nije tačno, te da je poznato da su na to bili podstaknuti od rukovodstva iz Beograda.
- Vlada će čvrsto kao uvek do sada štiti hrvatske branitelje, pilote i ratne optuženike i neće dozvoliti da se na bilo koji način dovedu u pitanje niti da se otpužuju naši ratni heroji -rekao je Plenković.
Optužio je Srbiju za nesaradnju po pitanju, kako je rekao progona ratnih zločinaca, pitanju hrvatskih logoraša i nestalih.
Uverava da će Hrvatska raditi na saradnji i miru i da će, kako je kazao, štiti prava svih nacionalnih manjina, uključujući i srpsku čiji predstavici su u saboru i hrvatskoj vladi.
Podsetimo,Krivično vanpretresno veće Višeg suda u Beogradu, Odeljenje za ratne zločine na sednici veća održanoj 3. juna 2022. godine donelo je rešenje o potvrđivanju optužnice Tužilaštva za ratne zločine, koja je podignuta protiv okrivljenog Vladimira Mikca i drugih zbog izvršenja krivičnog dela ratni zločin protiv civilnog stanovništva u saizvršilaštvu za akciju ""Oluja"".
Ispitujući optužnicu Tužilaštva za ratne zločine krivično vanpretresno veće je stalo na stanovište da dokazi i podaci prikupljeni u dosadašnjem toku postupka, pružaju dovoljan osnov za izvođenje zaključka o postojanju opravdane sumnje da su okrivljeni preduzeli radnje iz činjeničnog opisa krivičnog dela koje im se optužnicom stavlja na teret, odnosno da su ispunjeni neophodni materijalni uslovi za optuženje u konkretnom slučaju.
(Telegraf.rs)
Pošaljite nam Vaše snimke, fotografije i priče na broj telefona+381
                    64 8939257(WhatsApp/Viber/Telegram).
Telegraf.rs zadržava sva prava nad sadržajem. Za preuzimanje sadržaja
            pogledajte uputstva na straniciUslovi
                korišćenja.
Sta reci o njima.Sve negiraju, a ustvari duboko u sebi znaju da su i oni Srbi i to ih najvise boli tj. da nemaju svoj identitet
Pa normalno, normalni ljudi brane svoje, samo mi nase junake dasmo u hag, to je nasa sramota koja se nikad nece izbrisati...
Svi postuju,brane i placaju svoje ""branitelje"",osim Srbije,mi se sa nasom ""drzavom"" sudimo za crkavicu,umesto da imamo zasluzne penzije,kao recimo Lepa Lukic,Miroslav Ilic i ostala bulumenta..
Da li želite da dobijate obaveštenja o najnovijim vestima?",Positive
Dragana Simić,"Hrvatski ministar finansija podnosi ostavku: ""Odlazi na sopstvenu inicijativu""","Hrvatski ministar finansija Zdravko Marić odlazi iz Vlade, a premijer Andrej Plenković će za tu funkciju predložiti Marka Primorca, potvrđeno je večeras iz hrvatske vlade.",https://www.telegraf.rs/vesti/jugosfera/3523127-hrvatski-ministar-finansija-podnosi-ostavku-odlazi-na-sopstvenu-inicijativu,Telegraf,general,en,rs,2022-07-05T22:32:00+00:00,"Hrvatski ministar finansija Zdravko Marić odlazi iz Vlade,a premijerAndrej Plenkovićće za tu funkciju predložiti Marka Primorca, potvrđeno je večeras iz hrvatske vlade.
- Tačno je da Zdravko Marićna sopstvenu inicijativu odlazi sa mesta potpredsednika Vlade i ministra finansija. Predsednik Vlade će o tome sutra obavestiti članove Vlade i parlamentarne većine - rekao je portparol vlade Marko Milić, prenosi Hina.
Zdravko Marić postao je ministar finansija 2016. godine, a od 2019. i potpredsednik Vlade Hrvatske.
Prethodno je od 2008. do 2012. godine bio državni sekretar u u Ministarstvu finansija.
Marić odlazi nakon što je prošlog meseca izbila afera zbog njegovog boravka na produženom vikendu u hotelu ""Belvi"" u Malom Lošinju 2019. godine, piše Index.hr.
Kako je otkrio portal ""Oštro"", on je smeštaj za dve odrasle osobe i dvoje dece tada platio 291.20 evra za noć, što predstavlja tri puta nižu cenu od uobičajene za to doba godine.
(Telegraf.rs)
Pošaljite nam Vaše snimke, fotografije i priče na broj telefona+381
                    64 8939257(WhatsApp/Viber/Telegram).
Telegraf.rs zadržava sva prava nad sadržajem. Za preuzimanje sadržaja
            pogledajte uputstva na straniciUslovi
                korišćenja.
Kad i koji je ministar kod nas podneo ostavku? Molim odgovor
Da li želite da dobijate obaveštenja o najnovijim vestima?",Neutral
,EU-leiders akkoord over uitbreiding eurozone met Kroatië,"De eurozone van nu negentien landen wordt per 1 januari uitgebreid met Kroatië, hebben de Europese leiders tijdens hun top in Brussel bekendgemaakt. Het Balkanland treedt volgend jaar toe en zal de gemeenschappelijke euro invoeren. De huidige nationale munt, de kuna, wordt dan afgeschaft. De Kroatische premier Andrej Plenković noemt het besluit ‘een excellent signaal voor onze economie’. ‘We zijn er klaar voor’, zei hij in Brussel.",https://www.nd.nl/nieuws/varia/1130671/eu-leiders-akkoord-over-uitbreiding-eurozone-met-kroatie,nd,general,nl,nl,2022-06-24T12:54:18+00:00,[ERROR: 403 Client Error: Forbidden for url: https://www.nd.nl/nieuws/varia/1130671/eu-leiders-akkoord-over-uitbreiding-eurozone-met-kroatie],NA
fm,President says Russia sanctions should not hurt EU,"President Nicos Anastasiades has told Brussels that sanctions on Russia should not have a bigger impact on EU member states than on Moscow. He took part in a videoconference on Monday, convened by European Council head Charles Michel with Swedish premier Magdalena Andersson, Austrian Chancellor Karl Nehammer and Croatian premier Andrej Plenković. The videoconference took place ahead of the extraordinary EU Council in Brussels on 30-31 May. Government spokesperson Marios Pelekanos said that Michel and the EU heads of states and governments discussed the situation in Ukraine and food security...",https://www.financialmirror.com/2022/05/24/president-says-russia-sanctions-should-not-hurt-eu/,financialmirror,general,en,us,2022-05-24T07:36:05+00:00,"President Nicos Anastasiades has told Brussels that sanctions on Russia should not have a bigger impact on EU member states than on Moscow.
He took part in a videoconference on Monday, convened by European Council head Charles Michel with Swedish premier Magdalena Andersson, Austrian Chancellor Karl Nehammer and Croatian premier Andrej Plenković.
The videoconference took place ahead of the extraordinary EU Council in Brussels on 30-31 May.
Government spokesperson Marios Pelekanos said that Michel and the EU heads of states andgovernmentsdiscussed the situation in Ukraine and food security.
The President argued that diplomatic efforts should continue for a ceasefire and for conditions of peace and stability to return in Ukraine and the region.
Although sanctions on Russia will not be debated during EUCO, the President urged EU leaders to stay united in their stance and to keep supporting measures that will lead to the end of the Ukraine war.
He said sanctions should be well thought out and lead to pressure on Russia and not have greater fiscal consequences on EU states dependent on Russian energy.
Also on the agenda of the videoconference was the EU’s defence industry competitiveness and cooperation between member states in the armaments sector.
Anastasiades saidCyprus supportsall efforts and steps that would lead to the EU’s strategic autonomy.
On food crisis and security due to the Ukrainian war, the President called for support to the agriculture sector and expressed fears that might arise from wheat and grain shortages in Africa and countries of the Middle East.

Financial markets are showing a deeply concerning level of complacency
The Japanese Yen remains on the back foot against its
The euro-dollar currency pair extended its gains for the fourth
The risk of an attack on the British bases in
Financialmirror.com is the leading English-language business news site in Cyprus, reporting on business, the economy, energy and shipping. The Financial Mirror weekly newspaper was established in 1993 and is the primary source of news and analysis about the Cyprus economy.
Contact Us:[email protected]
Copyright ©2022 Financial Mirror. All Rights Reserved
Website Developed byCloudtech.com.cy
We are using cookies to give you the best experience on our website.
You can find out more about which cookies we are using or switch them off insettings.
What Are Cookies
As is common practice with almost all professional websites, our site uses cookies, which are tiny files that are downloaded to your device, to improve your experience.
This document describes what information they gather, how we use it and why we sometimes need to store these cookies. We will also share how you can prevent these cookies from being stored however this may downgrade or ‘break’ certain elements of the sites functionality.
How We Use Cookies
We use cookies for a variety of reasons detailed below. Unfortunately, in most cases there are no industry standard options for disabling cookies without completely disabling the functionality and features they add to the site. It is recommended that you leave on all cookies if you are not sure whether you need them or not, in case they are used to provide a service that you use.
The types of cookies used on this website can be classified into one of three categories:
Disabling Cookies
You can prevent the setting of cookies by adjusting the settings on your browser (see your browser’s “Help” option on how to do this). Be aware that disabling cookies may affect the functionality of this and many other websites that you visit. Therefore, it is recommended that you do not disable cookies.
Third Party Cookies
In some special cases we also use cookies provided by trusted third parties. Our site uses [Google Analytics] which is one of the most widespread and trusted analytics solutions on the web for helping us to understand how you use the site and ways that we can improve your experience. These cookies may track things such as how long you spend on the site and the pages that you visit so that we can continue to produce engaging content. For more information on Google Analytics cookies, see the official Google Analytics page.
Google Analytics
Google Analytics is Google’s analytics tool that helps our website to understand how visitors engage with their properties. It may use a set of cookies to collect information and report website usage statistics without personally identifying individual visitors to Google. The main cookie used by Google Analytics is the ‘__ga’ cookie.
In addition to reporting website usage statistics, Google Analytics can also be used, together with some of the advertising cookies, to help show more relevant ads on Google properties (like Google Search) and across the web and to measure interactions with the ads Google shows.
Learn more about Analytics cookies and privacy information.
Use of IP Addresses. An IP address is a numeric code that identifies your device on the Internet. We might use your IP address and browser type to help analyze usage patterns and diagnose problems on this website and to improve the service we offer to you. But without additional information your IP address does not identify you as an individual.
Your Choice. When you accessed this website, our cookies were sent to your web browser and stored on your device. By using our website, you agree to the use of cookies and similar technologies.
More Information
Hopefully the above information has clarified things for you. As it was previously mentioned, if you are not sure whether you want to allow the cookies or not, it is usually safer to leave cookies enabled in case it interacts with one of the features you use on our site. However, if you are still looking for more information, then feel free to contact us via email at[email protected]
Strictly Necessary Cookie should be enabled at all times so that we can save your preferences for cookie settings.
If you disable this cookie, we will not be able to save your preferences. This means that every time you visit this website you will need to enable or disable cookies again.",Neutral
Kristina Šormaz,"Oglasio se Plenković na sednici Vlade: Izražavamo saučešće porodici Mateja Periša, hvala policiji Srbije",Hrvatski premijer Andrej Plenković je na današnjoj sednici Vlade izrazio saučešće porodici Mateja Periša.,https://www.telegraf.rs/vesti/jugosfera/3500620-oglasio-se-plenkovic-na-sednici-vlade-izrazavamo-saucesce-porodici-mateja-perisa-hvala-policiji-srbije,Telegraf,general,en,rs,2022-05-19T10:35:50+00:00,"Hrvatski premijerAndrej Plenkovićje na današnjoj sednici Vlade izrazio saučešće porodiciMateja Periša.
- Nakon zvanične informacije pre sednice Vlade koju smo primili iz Beograda da izrazimo još jednom saučešće porodici Mateja Periša. Prema informacijama nakon DNK analize i obdukcije tela utvrđeno je da je reč upravo o njemu - rekao je Plenković.
- Ja sam juče razgovarao sa njegovim ocem, žao nam je da se to dogodilo. Zahvaljujem policiji Srbije na saradnji u proteklim mesecima. Tamo je i predstavnik hrvatske policije, od juče, od kada smo dobili tu informaciju. Još jedan put, u ime cele Vlade izražavamo saučešće nakon ovog tragičnog događaja - dodao je Plenković.
Podsetimo,prema prvim nezvaničnim informacijama, DNK analiza potvrdila je da je telo pronađeno u Dunavu kod Ade Huje telo Mateja Periša. DNK je rađen po nalogu Višeg javnog tužilaštva u Beogradu.
Telo mladića pronašao je kapetan broda, Milovan Zelenović.
I otac Mateja Periša, Nenad Periš, potvrdio je za Telegraf.rs da ga je srpska policija obavestila o tome da je u Dunavu kod Ada Huje pronađeno telo mladića, koje po opisu i garderobi odgovara njegovom sinu.
Matej Periš je nestao u noći između 30. i 31. decembra.
(Telegraf.rs)
Pošaljite nam Vaše snimke, fotografije i priče na broj telefona+381
                    64 8939257(WhatsApp/Viber/Telegram).
Telegraf.rs zadržava sva prava nad sadržajem. Za preuzimanje sadržaja
            pogledajte uputstva na straniciUslovi
                korišćenja.
Gospode Veliki Boze moj. .Tuzno mnogo. Saucesce familiji tugooooo
Jako mi je zao saucesce Familiji .
Nadali smo se svi lepsem zavrsetku. Svi smo potreseni.  Mateji poslednji pozdrav iz Beograda. Porodici saucesce.
Da li želite da dobijate obaveštenja o najnovijim vestima?",Positive
fm,Landmark visit diplomatic boost for Cyprus-Croatia ties,"Strengthening bilateral relations between EU friends Cyprus and Croatia while supporting Ukraine are key messages for Croatian Prime Minister Andrej Plenković during his landmark official visit. It is the first-ever official visit of a Croatian Prime Minister to Cyprus, celebrating the 30th anniversary of establishing diplomatic relations. &#8220;I wish to reaffirm the high importance that my Government and I personally attach to further enhancing our relationship, which draws its strength from a common adherence to democratic values and norms and a genuine friendship&#8221;, said President...",https://www.financialmirror.com/2022/05/11/landmark-visit-diplomatic-boost-for-cyprus-croatia-ties/,financialmirror,general,en,us,2022-05-11T10:27:19+00:00,"Strengthening bilateral relations between EU friends Cyprus and Croatia while supporting Ukraine are key messages for Croatian Prime Minister Andrej Plenković during his landmark official visit.
It is the first-ever official visit of a Croatian Prime Minister to Cyprus, celebrating the 30th anniversary of establishing diplomatic relations.
“I wish to reaffirm the high importance that my Government and I personally attach to further enhancing our relationship, which draws its strength from a common adherence to democratic values and norms and a genuine friendship”, said President Nicos Anastasiades.
He said Prime Minister Plenković is a dedicated European with whom he has a strong convergence of views “stemming from our pursuit to make the European Union stronger and more cohesive in an ever-changing international environment”.
Anastasiades said almost three months after the Russianinvasion of Ukraine, the situation remains unpredictable.
The Prime Minister said he and President Anastasiades “have been friends for almost six years”.
He said Croats and Cypriots are linked with the Mediterranean, culturally and historically.
“It is important to use this opportunity of the first official visit of a Croatian Prime Minister to Cyprus to put forward all the ideas and potential of our cooperation that I am sure will gain a new momentum after the visit,” Plenković said.
He underlined that Cyprus and Croatia had a similar struggle for independence and had to make their voice heard in the international community.
“Croatia also had its territories occupied in the 90s; therefore, we understand the pain and difficult moments you are going through.”
He said that the situation in Croatia was resolved through negotiations, through the involvement of the United Nations and with a lot of political will, determination, and ability.
“We would like to extend this know-how to similar situations, and one of them is the one you have here.
“And that is why we have always been by your side in the international fora, in the UN, in the debates and other international organisations fully supporting your positions because we understand them, and they are in accordance with the values and the principles that we share.
“We are all witnessing the incredible violation of international law and international order as we know it by Russia against Ukraine.
“We should work jointly on solutions that put together our national efforts and our joint European efforts because a big problem requires big solutions, creative minds and a lot of cooperation”.
He said that Croatia supports the various packages andrestrictive measuresand sanctions against Russia that the EU has adopted and will continue to do so.
He also noted the importance of concluding the Agreement on Avoidance of Double Taxation, pointing out that everything should be ready by next November.
He said that direct flights would facilitate tourism.
The Croatian Prime Minister also discussed cooperation in the energy field, given the spike of the energy crisis after Russia’s invasion.
He said both countries could explore ways to benefit from each other’s potential when it comes to gas, pipelines, and other investments.


Financial markets are showing a deeply concerning level of complacency
The Japanese Yen remains on the back foot against its
The euro-dollar currency pair extended its gains for the fourth
The risk of an attack on the British bases in
Financialmirror.com is the leading English-language business news site in Cyprus, reporting on business, the economy, energy and shipping. The Financial Mirror weekly newspaper was established in 1993 and is the primary source of news and analysis about the Cyprus economy.
Contact Us:[email protected]
Copyright ©2022 Financial Mirror. All Rights Reserved
Website Developed byCloudtech.com.cy
We are using cookies to give you the best experience on our website.
You can find out more about which cookies we are using or switch them off insettings.
What Are Cookies
As is common practice with almost all professional websites, our site uses cookies, which are tiny files that are downloaded to your device, to improve your experience.
This document describes what information they gather, how we use it and why we sometimes need to store these cookies. We will also share how you can prevent these cookies from being stored however this may downgrade or ‘break’ certain elements of the sites functionality.
How We Use Cookies
We use cookies for a variety of reasons detailed below. Unfortunately, in most cases there are no industry standard options for disabling cookies without completely disabling the functionality and features they add to the site. It is recommended that you leave on all cookies if you are not sure whether you need them or not, in case they are used to provide a service that you use.
The types of cookies used on this website can be classified into one of three categories:
Disabling Cookies
You can prevent the setting of cookies by adjusting the settings on your browser (see your browser’s “Help” option on how to do this). Be aware that disabling cookies may affect the functionality of this and many other websites that you visit. Therefore, it is recommended that you do not disable cookies.
Third Party Cookies
In some special cases we also use cookies provided by trusted third parties. Our site uses [Google Analytics] which is one of the most widespread and trusted analytics solutions on the web for helping us to understand how you use the site and ways that we can improve your experience. These cookies may track things such as how long you spend on the site and the pages that you visit so that we can continue to produce engaging content. For more information on Google Analytics cookies, see the official Google Analytics page.
Google Analytics
Google Analytics is Google’s analytics tool that helps our website to understand how visitors engage with their properties. It may use a set of cookies to collect information and report website usage statistics without personally identifying individual visitors to Google. The main cookie used by Google Analytics is the ‘__ga’ cookie.
In addition to reporting website usage statistics, Google Analytics can also be used, together with some of the advertising cookies, to help show more relevant ads on Google properties (like Google Search) and across the web and to measure interactions with the ads Google shows.
Learn more about Analytics cookies and privacy information.
Use of IP Addresses. An IP address is a numeric code that identifies your device on the Internet. We might use your IP address and browser type to help analyze usage patterns and diagnose problems on this website and to improve the service we offer to you. But without additional information your IP address does not identify you as an individual.
Your Choice. When you accessed this website, our cookies were sent to your web browser and stored on your device. By using our website, you agree to the use of cookies and similar technologies.
More Information
Hopefully the above information has clarified things for you. As it was previously mentioned, if you are not sure whether you want to allow the cookies or not, it is usually safer to leave cookies enabled in case it interacts with one of the features you use on our site. However, if you are still looking for more information, then feel free to contact us via email at[email protected]
Strictly Necessary Cookie should be enabled at all times so that we can save your preferences for cookie settings.
If you disable this cookie, we will not be able to save your preferences. This means that every time you visit this website you will need to enable or disable cookies again.",Positive
Marija Milutinović,Plenković uoči Dana pobede posetio Kijev: Hrvatska nastavlja da pruža podršku Ukrajini,"Predsednik hrvatske Vlade Andrej Plenković danas je doputovao u Kijev gde će održati sastanke sa predsednikom Ukrajine Volodimirom Zelenskim, predsednikom Vlade Denisom Šmihalom i predsednikom Vrhovne Rade Ruslanom Stefančukom, saopštila je hrvatska Vlada.",https://www.telegraf.rs/vesti/svet/3495243-plenkovic-uoci-dana-pobede-posetio-kijev-hrvatska-nastavlja-da-pruza-podrsku-ukrajini,Telegraf,general,en,rs,2022-05-08T09:55:50+00:00,"Predsednik hrvatske VladeAndrej Plenkovićdanas je doputovao u Kijev gde će održati sastanke sa predsednikom UkrajineVolodimirom Zelenskim, predsednikom Vlade Denisom Šmihalom i predsednikom Vrhovne Rade Ruslanom Stefančukom, saopštila je hrvatska Vlada.
Sa njim je u poseti Kijevu i ministar spoljnih i evropskih poslova Gordan Grlić Radman.
- Hrvatska nastavlja da pruža političku, diplomatsku, finansijsku, humanitarnu, tehničku i svaku drugu moguću podršku Ukrajini, kao i pomoć u zbrinjavanju ukrajinskih izbjeglica - navodi se u saopštenju.
Na sastancima će ukrajinski državni vrh upoznati Plenkovića sa posledicama razaranja usled ruskih napada, a razgovaraće se i o daljoj pomoći i nastavku evropskog puta Ukrajine.
- Poseta Plenkovića Ukrajini odvija se uoči Dana pobede i predstavlja izraz solidarnosti i podrške ukrajinskim vlastima i prijateljskom ukrajinskom narodu, koji je žrtva brutalne ruske agresije - piše u saopštenju.
Predsjednika Vlade Plenkovića i ministra Grlića Radmana dočekala je ambasadorka Anica Djamić, koja se zbog ove posete vratila u Kijev, gde će ostati i nastaviti da vodi Ambasadu RH u Ukrajini.
(Telegraf.rs)
Pošaljite nam Vaše snimke, fotografije i priče na broj telefona+381
                    64 8939257(WhatsApp/Viber/Telegram).
Telegraf.rs zadržava sva prava nad sadržajem. Za preuzimanje sadržaja
            pogledajte uputstva na straniciUslovi
                korišćenja.
Došli pajtosi iz II svetskog rata da proslave Dan pobede?pa ko koga zeza ovde? Većina hrvatske i dobar deo ukrajine je ratovao na strani nacista i oni slave Dan pobede?nemojte me zezati,gasim telefon i ne čitam više vesti.
Nista cudno nacisti podrzavaju naciste
Nacisti se drže
Da li želite da dobijate obaveštenja o najnovijim vestima?",Negative
Marija Milutinović,Plenković saopštio imena kandidata za nove članove vlade,"Hrvatski premijer Andrej Plenković predstavio je danas tri nova člana Vlade, među kojima Anju Šimpragu iz Samostalne demokratske srpske stranke (SDSS)",https://www.telegraf.rs/vesti/jugosfera/3490825-plenkovic-saopstio-imena-kandidata-za-nove-clanove-vlade,Telegraf,general,en,rs,2022-04-27T19:04:56+00:00,"Hrvatski premijerAndrej Plenkovićpredstavio je danas tri nova člana Vlade, među kojima Anju Šimpragu iz Samostalne demokratske srpske stranke (SDSS) koja će kao potpredsednica Vlade zameniti svog stranačkog kolegu Borisa Miloševića.
Posle sastanka vladajuće većine, Plenković je novinarima rekao da će uz Šimpragu kao potpredsednicu, za nove ministre privrede i rada predložiti Davora Filipovića i Marina Piletića, obojicu iz Hrvatske demokratske zajednice (HDZ).
Oni će na tim mestima zameniti HDZ-ove ministre Josipa Aladrovića i Tomislava Ćorića.
Očekuje se da će novi ministri biti izglasani u petak u Saboru.
Premijer je još krajem marta najavio rekonstrukciju Vlade pošto su se Aladrović i Milošević našli pod istragama Kancelarije za borbu protiv korupcije i organizovanog kriminala.
Plenković je danas rekao da su, ukoliko im se ne dokaže krivica, vrata Vlade za njih otvorena, prenosi agencija Beta.
I odlazećeg ministra Ćorića mediji su pominjali u okviru nekih istraga, ali on će, kako je rekao Plenković, biti predložen za viceguvernera Hrvatske narodne banke.
Kandidatkinja za potpredsednicu Vlade za društvene delatanosti i ljudska prava Anja Šimpraga je poslanica u SDSS u Saboru. I u parlament je ušla kao zamena za Miloševića.
Rođena je 1987. u Kninu, a Agronomski fakultet završila je u Zagrebu. Mediji ističu njen govor u Saboru pre dve godine u kojem je opisala da je kao dete u izbegličkoj koloni proživela hrvatsku akciju ""Oluja"".
Kandidati za ministre dolaze iz vladajućeg HDZ. Piletić je poslanik te stranke u Saboru i aktuelni gradonačelnik Novske, a Filipović koji je bio stranački kandidat za gradonačelnika Zagreba, na ministarsko mesto dolazi iz zagrebačke Gradske skupštine.
(Telegraf.rs)
Pošaljite nam Vaše snimke, fotografije i priče na broj telefona+381
                    64 8939257(WhatsApp/Viber/Telegram).
Telegraf.rs zadržava sva prava nad sadržajem. Za preuzimanje sadržaja
            pogledajte uputstva na straniciUslovi
                korišćenja.
Da li želite da dobijate obaveštenja o najnovijim vestima?",Positive
Kristina Šormaz,Plenković razgovarao sa Zelenskim: Izrazio žaljenje zbog svih žrtava,Hrvatski premijer Andrej Plenković objavio je na Tviteru da je večeras razgovarao sa ukrajinskim predsednikom Volodimirom Zelenskim.,https://www.telegraf.rs/vesti/jugosfera/3486636-plenkovic-razgovarao-sa-zelenskim-izrazio-zaljenje-zbog-svih-zrtava,Telegraf,general,en,rs,2022-04-18T19:46:27+00:00,"Hrvatski premijerAndrej Plenkovićobjavio je na Tviteru da je večeras razgovarao sa ukrajinskim predsednikomVolodimirom Zelenskim.
Plenković je, kako kaže, izrazio solidarnost sa ukrajinskim narodom i žaljenje zbog svih žrtava ""ruske agresije"".
Večeras 📞 razgovor s@ZelenskyyUa. Izrazio sam solidarnost s ukrajinskim narodom te žaljenje zbog svih žrtava ruske agresije. 🇭🇷 će osigurati dodatnu pomoć#Ukraine. Snažno podupiremo intenziviranje približavanja Ukrajine EU, sukladno našoj izjavi u Kijevu iz prosinca 2021.— Andrej Plenković (@AndrejPlenkovic)April 18, 2022

- Hrvatska će obezbediti dodatnu pomoć Ukrajini. Snažno podupiremo intenziviranjepribližavanja Ukrajine EU, u skladu sa našom izjavom u Kijevu iz decembra 2021. godine - poručio je Plenković.
(Telegraf.rs)
Pošaljite nam Vaše snimke, fotografije i priče na broj telefona+381
                    64 8939257(WhatsApp/Viber/Telegram).
Telegraf.rs zadržava sva prava nad sadržajem. Za preuzimanje sadržaja
            pogledajte uputstva na straniciUslovi
                korišćenja.
Ti si plenkovicu puko kao laisna
cirkuzan Milanovic je rekao sta mislio vama da sre korumpirana  i propala drzva.
Samo marketing ne dotice svet ukrajina
Da li želite da dobijate obaveštenja o najnovijim vestima?",Negative
