author,title,description,url,source,category,language,country,published_at,full_text,sentiment
Reuters,Four countries offer help to boost Azeri gas supply to Europe,"SOFIA &#8212; The gas network operators of Bulgaria, Romania, Hungary and Slovakia have proposed shipping additional natural gas supply pledged by Azerbaijan to Europe, Bulgarian President Rumen Radev said on Friday. The EU is seeking alternative suppliers to Russia because of Moscow&#8217;s invasion of Ukraine. Speaking at a meeting with Azeri President Ilham Aliev, Radev [&#8230;]",https://financialpost.com/pmn/business-pmn/four-countries-offer-help-to-boost-azeri-gas-supply-to-europe,Financial Post | Canada Business News,business,en,us,2022-09-30T11:55:25+00:00,[ERROR: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/four-countries-offer-help-to-boost-azeri-gas-supply-to-europe],NA
,[Ticker] Bulgarian president calls snap election for 2 October,"Bulgarian president Rumen Radev has set 2 October as the date for the country's fourth parliamentary election in less than two years. Anti-corruption and reformist prime minister Kiril Petkov's coalition government collapsed in June, and efforts to secure a new majority failed, Reuters reports. Radev appointed former labour minister Galab Donev to lead a caretaker government as Bulgaria is facing surging inflation, and doubts over gas supplies from Russia.",https://euobserver.com/tickers/155685?utm_source=euobs&utm_medium=rss,euobserver,general,en,us,2022-08-02T06:42:26+00:00,,NA
The Associated Press,Bulgaria: caretaker government until October early election,"SOFIA, Bulgaria (AP) &#8212; Bulgarian President Rumen Radev on Monday appointed a caretaker government ahead of another round of parliamentary elections in early October in a bid to stave off the country&#8217;s political and economic crisis. The move comes after the three largest political groups failed to find common ground for a viable coalition to [&#8230;]",https://nationalpost.com/pmn/news-pmn/bulgaria-caretaker-government-until-october-early-election,nationalpost,general,en,us,2022-08-01T13:18:38+00:00,[ERROR: 403 Client Error: Forbidden for url: https://nationalpost.com/pmn/news-pmn/bulgaria-caretaker-government-until-october-early-election],NA
Famagusta Gazette,Bulgaria to hold new parliamentary elections on Oct. 2,"Bulgarian President Rumen Radev has signed a decree, setting the date of the new parliamentary election on Oct. 2, his press office said on Monday. Radev dissolved, through the same decree, the current National Assembly [...]",http://famagusta-gazette.com/2022/08/01/bulgaria-to-hold-new-parliamentary-elections-on-oct-2/,famagusta-gazette,general,en,us,2022-08-01T12:11:24+00:00,[ERROR: 403 Client Error: Forbidden for url: http://famagusta-gazette.com/2022/08/01/bulgaria-to-hold-new-parliamentary-elections-on-oct-2/],NA
Joshua Manning,BREAKING NEWS: President of Bulgaria dissolves parliament and appoints temporary government,"The President of Bulgaria has dissolved the nation&#8217;s parliament and appointed a temporary government, as reported on Monday, August 1. President Rumen Radev of Bulgaria has reportedly dissolved parliament, dissolving the 47th National Assembly of Bulgaria and scheduling early parliamentary elections for October 2. President Rumen Radev signed the decree to dissolve the 47th National [&hellip;]The post BREAKING NEWS: President of Bulgaria dissolves parliament and appoints temporary government appeared first on Euro Weekly News.",https://euroweeklynews.com/2022/08/01/breaking-news-president-of-bulgaria-dissolves-parliament-and-appoints-temporary-government/,euroweeklynews,general,en,us,2022-08-01T11:20:51+00:00,[ERROR: 403 Client Error: Forbidden for url: https://euroweeklynews.com/2022/08/01/breaking-news-president-of-bulgaria-dissolves-parliament-and-appoints-temporary-government/],NA
,El presidente de Bulgaria firma un decreto para disolver el Parlamento a partir del día 2,"MOSCÚ (Sputnik) — El presidente de Bulgaria, Rumen Radev, firmó un decreto para disolver la Asamblea Nacional (Parlamento unicameral) a partir del 2 de agosto, informó el servicio de prensa del mandatario.",https://mundo.sputniknews.com/20220801/presidente-de-bulgaria-firma-un-decreto-para-disolver-el-parlamento-a-partir-del-dia-2-1128882959.html,sp,general,es,ru,2022-08-01T11:04:20+00:00,"[ERROR: HTTPSConnectionPool(host='mundo.sputniknews.com', port=443): Max retries exceeded with url: /20220801/presidente-de-bulgaria-firma-un-decreto-para-disolver-el-parlamento-a-partir-del-dia-2-1128882959.html (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x749ec5cb2860>: Failed to establish a new connection: [Errno 111] Connection refused'))]",NA
,"Crisi politica in Bulgaria, verso le elezioni anticipate","Si va verso le elezioni anticipate in Bulgaria, le quarte dall'aprile dell'anno scorso, dopo che stamane il Partito socialista (Bsp) ha rimesso al presidente della repubblica Rumen Radev il mandato a ......",https://www.zazoom.it/2022-07-28/crisi-politica-in-bulgaria-verso-le-elezioni-anticipate/11318782/,zazoom,general,it,it,2022-07-28T12:05:20+00:00,"LâAssessore allo SportÂ Marco BosiÂ ha ricevuto questa mattina in municipio i pugiliÂ Matteo AzzaliÂ e... ►parmatoday.it
I mal di pancia spagnoli non preoccupano Mark Rutte, che invece Ã¨ concentrato sul rapporto con gli ... ►formiche.net
Ultimi giorni in Honduras per i naufraghi dellâIsola dei Famosi 2025. E quella di stasera, mercoled... ►iodonna.it
SarÃ  una giornata bollente a Novara: secondo le previsioni mercoledÃ¬ 25 giugno le temperature supe... ►novaratoday.it
Intel ha pubblicato un documento sul suo processo di fabbricazione 18A, 1.8 nanometri: arriva tra q... ►dday.it
Crollano, anche in provincia di Agrigento. gli studenti che hanno tentato di ottenere il diploma d... ►agrigentonotizie.it
Il tecnico azzurro lo conosce bene, ma il Napoli ha detto di no: la situazione.
La difesa del Napol... ►spazionapoli.it
Ospite di Dax Shepard nel podcast Armchair Expert l'attore americano ha parlato delle dipendenze ch... ►ilgiornale.it
La Guardia di Finanza festeggia il 251Â° dalla sua fondazione. Il comandante provinciale della Guar... ►ilpiacenza.it
Originario di San Antonio, Texas, Thomas  Fugate incarna il prototipo del giovane attivista conserv... ►metropolitanmagazine
Altro incidente stradale che ha coinvolto in cittÃ  uno scooter nella mattinata del 25 giugno. Lung... ►ilpiacenza.it
Montemurlo, 25 giugno 2025 âÂ Cifra tonda per ""A spasso con lâOste"",Â la festa in piazza piÃ¹ attesa d... ►lanazione.it
Ergastolo, anche in secondo grado. La corte dâappello conferma la condanna per Alessandro Impagnat... ►napolitoday.it
Secondo quanto riportato da Gianluca Di Marzio, il Milan continua a trattare con il Como per la cess... ►pianetamilan.it
Roma, 25 giu. (askanews) â Dopo âA Classic Horror Storyâ e âPioveâ, Paolo Strippoli, classe â93, ... ►ildenaro.it
Adrian BernabÃ© non Ã¨ nell'elenco dei calciatori che il Parma Ã¨ disposto a sacrificare in questa fi... ►parmatoday.it
Prova la moto elettrica di un coetaneo e si schianta contro un palo: Giuseppe Ancora, 23 anni, orig... ►fanpage.it
di Redazione JuventusNews24Wesley Juventus, il direttore sportivo del Flamengo Boto Ã¨ uscito allo sc... ►juventusnews24.com
La Spezia, 25 giugno 2025 â I sindaci della provincia della Spezia, nellâambito del progetto 'Polis... ►lanazione.it
Ancora un ottimo piazzamento per Mattia Bucci e scuderia Best Lap. Il pilota pescarese sale sul po... ►ilpescara.it
profilo e carriera di Manuela Moreno, giornalista Rai di rilievo
Manuela Moreno rappresenta uno dei... ►jumptheshark.it
(Adnkronos) â Come ridurre lo spreco soprattutto quando le temperature aumentano? ""Con lâarrivo del... ►webmagazine24.it
Oscilla tra i 15 e i 20 euro annui lâaumento medio delle tariffe Tari 2025 per le utenze domestich... ►foggiatoday.it
Essere in connessione con gli altri, socializzare, coltivare vecchie e nuove amicizie. Evitare la s... ►iodonna.it
Pisa, 25 giugno 2025 - ""Ciao a tutti, ci vediamo presto"". Con queste parole, rivolte ai microfoni ... ►lanazione.it
Capello da pescatore, completino floreale, due casse e un microfono: Carl Brave stupisce (ancora). ... ►ilfattoquotidiano.it
Sabato 28 giugno la collinetta di San Colombano a Briga Novarese Ã¨ lo scenario del terzo appuntame... ►novaratoday.it
Un confronto su uno dei temi centrali per il futuro della sanitÃ  privata: âIÂ sistemi di controllo i... ►ildenaro.it
NovitÃ  per le persone disabili che vogliono assistere alle partite di calcio a San Siro. A partire... ►milanotoday.it
Il mercato dei limoni nell'acese era monopolizzato dal clan Laudani. Sono 20 le persone indagate n... ►cataniatoday.it
Rutte: ""Salto quantico nella difesa collettiva"". Tajani: ""La Spagna dovrÃ  rispettare le regole"". Orb... ►tgcom24.mediaset.it
Aveva ricevuto unaÂ bolletta dell'acqua di ben 1.495 euro, sicuramente non corrispondente a quanto ... ►parmatoday.it
Dopo alcuni giorni di grande caldo e afa, torna l'allerta meteo. Nella speranza che non accada qua... ►leccotoday.it
Una guida per mangiare e bere bene se ci si trova nella zona di Garbatella e nella vicina San Paol... ►romatoday.it
Il calciomercato vede il Napoli concentrarsi sul fronte entrate, con lâobiettivo per la difesa che ... ►spazionapoli.it
Forse ora non Ã¨ piÃ¹ una semplice testa di ponte, bensÃ¬ un cuneo ben conficcato nella seconda manifa... ►formiche.net
IL CASO.  Lâepisodio lunedÃ¬ 21 giugno alle 22.30 in centro. Qualche giorno fa unâaltra rissa. Il sin... ►ecodibergamo.it
La polizia di Stato di Como ha eseguito negli ultimi giorni una raffica di rimpatri nei confronti ... ►quicomo.it
Dopo diversi giorni di monitoraggio quotidiano effettuato con lâausilio di un drone, Ã¨ stata accer... ►palermotoday.it
La canicola che in questi ultimi giorni ha stretto nella sua morsa Monza e la Brianza potrebbe ave... ►monzatoday.it
Arezzo â Il Questore di Arezzo, Maria Luisa Di Lorenzo, ha emesso un provvedimento di Daspo della d... ►lortica.it
La modifica riguarda i lavoratori che, nei dodici mesi precedenti al licenziamento, abbiano lasciat... ►ilgiornale.it
Si svolge oggi, mercoledÃ¬ 25 giugno, alle 15, il question time trasmesso dalla Rai in diretta telev... ►ilfattoquotidiano.it
Stasera, in diretta su Rai3, andrÃ  in onda una nuova puntata di Chi lâha visto?, il programma condot... ►ascoltitv.it
Ritardi, incertezze politiche, resistenze: e ogni volta il ministro avanza intenti e propositi
The ... ►lidentita.it
Arrivano fondi per le periferie. Grazie al meccanismo dei versamenti da parte dei consorzi operant... ►romatoday.it
Sono ore di apprensione per Papusciello. Il tiktoker ha condiviso sul proprio profilo alcuni video... ►napolitoday.it
Al vertice Nato all'Aja, i leader approvano lâaumento della spesa per la difesa al 5% del Pil entro... ►ilgiornale.it
L'FBI sta indagando su come la valutazione preliminare dell'intelligence sugli attacchi americani ai... ►quotidiano.net
Il presidente degli Stati Uniti d'America Donald Trump ha paragonato gli attacchi Usa contro gli im... ►liberoquotidiano.it
14.46 
""Gli alleati si impegnano a investire il 5% del Pil annuo nelle esigenze fondamentali di dife... ►televideo.rai.it
Nellâambito del Piano Strade 2025, giÃ  presentato nelle scorse settimane, prenderanno avvio a brev... ►parmatoday.it
Questa notte a New York Ã¨ accaduto qualcosa di epocale, sebbene la notizia sia stata vittima del f... ►it.insideover.com
La Spezia, 25 giugno 2025 âÂ Pierino Garibaldi Ã¨ il nuovo presidente di Cna Pensionati Liguria, al l... ►lanazione.it
I giudici escludono l'aggravante della premeditazione, mentre confermano quella della crudeltÃ . La s... ►tgcom24.mediaset.it
Guido Angelozzi Ã¨ il nuovo direttore sportivo del Cagliari: ne ha dato annuncio il club sardo dopo l... ►calciomercato.com
Arezzo, 25 giugno 2025 â Â VIa Vittorio Veneto notte d'estate: sabato 28 giugnoDalle ore 18 fino a m... ►lanazione.it
La serie televisiva Stick, trasmessa su Apple TV+, si distingue per la presenza di un cast di alto ... ►jumptheshark.it
di Redazione JuventusNews24Calciomercato Juventus: Â«i bianconeri sono in cima alla lista dei desider... ►juventusnews24.com
Scopriamo insieme cosa accadrÃ  nelle puntate La Promessa in arrivo su Rete4 nella quarta settimana d... ►comingsoon.it
Un piccolo âfuori programmaâ che Ã¨ diventato virale. La giornalista Simona Buracci, martedÃ¬ 24 giug... ►ilfattoquotidiano.it
Nella puntata di Ritorno a Las Sabinas in onda il 26 giugno 2025 su Rai1 vedremo Gracia confessare a... ►comingsoon.it
Zazoom Social News Â© 2011 - 2025 -Zazoom|Social News|Guida Tv|Cruciverba|Chi Siamo|Cosa Ã¨|Terms-Policy|Seguici|Preferenze Cookie|",NA
,Bulgarian Politics: BSP Officially Returned an Unfulfilled Cabinet Mandate to the President,"BSP representatives today returned to President Rumen Radev the unfulfilled third exploratory mandate to form a government, which ended the last opportunity to form a government within the framework of the 47th National Assembly.The chairman of the parliamentary group of the Bulgarian Socialist Party, Georgi Svilenski, pointed out that within the last 10 days the “Left” has made every effort to form a government within the framework of the 47th National Assembly.The head of state is about to dissolve the parliament and set a date for early elections.""Together with the unfulfilled mandate...",https://www.novinite.com/articles/216093/Bulgarian+Politics%3A+BSP+Officially+Returned+an+Unfulfilled+Cabinet+Mandate+to+the+President,novinite,general,en,us,2022-07-28T07:50:48+00:00,"HOT:» Will you be spending your summer break in Bulgaria?

BSPrepresentatives today returned to President RumenRadevthe unfulfilled third exploratory mandate to form a government, which ended the last opportunity to form a government within the framework of the 47th National Assembly.
The chairman of the parliamentary group of the Bulgarian Socialist Party, Georgi Svilenski, pointed out that within the last 10 days the “Left” has made every effort to form a government within the framework of the 47th National Assembly.
The head of state is about to dissolve the parliament and set a date for early elections.
""Together with the unfulfilled mandate, the ruling coalition bequeaths to the cabinet the crisis in the energy sector, which can turn into a collapse of the economy and the social system,"" commented RumenRadevin turn, who pointed out that this is the government's heaviest legacy.
The president called on the deputies for a quick decision on the chairman of EWRC.
The leader of the “Left”, KorneliaNinova, said for her part that ""we made every effort to solve the problem with Energy and Water Regulatory Commission (EWRC)"":
""We fully understand the burden of theEWRCnot working in the coming difficult months. In this regard, Mr. President, we would like to know, too, do you intend to extend the work of the parliament so that this problem can be solved? "".
To which the President replied:
""Once again, I call on the National Assembly to find a solution to this extremely important case by the end of this week.""

Ninova: We will not be responsible for the energy crisis
“TheBSPdoes not want and will not be responsible for what is happening in the energy sector, and the criticisms that President RumenRadevmade earlier today about the chaos left in the sector are not accepted”, said the leader of the “Left”, KorneliaNinova, after the return of the unfulfilled mandate for cabinet.
Ninovarecommended that the criticism should be directed not at the resigned cabinet and theBSP, but at ""There Is Such a People"", which she pointed out as the specific culprit for what happened, since the Minister of Energy Alexander Nikolov is their nominee:
""A newEWRCchairman cannot be elected in two days and the president knows it very well"".
In addition, KorneliaNinovastated that the president is from the circle of people who overthrew the ruling coalition: “The president has not stopped criticizing this government since its first day, even though he created ‘We Continue the Change’”.
""Obviously there will be no paper ballots and that's a problem for us,"" she added.
FollowNovinite.comonTwitterandFacebook
Write to us ateditors@novinite.com
Информирайте се на Български -Novinite.bg
/BNR
President Rumen Radev joined business leaders and Czech representatives at a meeting organized by the Bulgarian-Czech Chamber of Commerce
President Rumen Radev has urged for caution amid the growing instability in the international arena, warning that Bulgaria must avoid being drawn into escalating global conflicts
President Rumen Radev has criticized the government's handling of rising prices, declaring that the state appears powerless in the face of inflation
GERB leader Boyko Borissov once again directed criticism at President Rumen Radev, this time over his international travel and the recent evacuation of Bulgarian citizens from Israel
Bulgarian President Rumen Radev expressed his full support for Ljubco Georgievski, chairman of the now-dissolved Bulgarian cultural club ""Ivan Mihailov"" in Bitola
Deputy Prime Minister and Minister of Innovation and Growth Tomislav Donchev commented on Bulgaria’s path toward adopting the euro
Former Prime Minister of Bulgaria, Kiril Petkov, announced on Wednesday that he is stepping down from his positions as co-chair of the party ""We Continue the Change"" (WCC)
Deputy Prime Minister and Minister of Innovation and Growth Tomislav Donchev emphasized the importance of building on the strong political relations between Bulgaria and Japan
GERB leader Boyko Borissov openly criticized the party “We Continue the Change” (WCC) for what he described as the collapse of Bulgaria's policy on North Macedonia
Parliament rejected a proposal by the nationalist “Revival” party to summon Foreign Minister Georg Georgiev for questioning following the European Parliament Foreign Affairs Committee’s endorsement of the progress report on North Macedonia
EMKO has issued a firm denial of recent claims suggesting the company has been involved in supplying ammunition and related components from Serbia to Ukraine
Over 216,000 citizens of the Republic of North Macedonia have received Bulgarian passports in the past 18 years
Borderless Bulgaria: How Schengen Benefits Are Transforming Trade and Logistics
Bulgaria's Mortality Rate Remains Highest in Europe",Negative
Cde,Bulgaria faces fresh polls after Socialists drop bid to form government,"SOFIA, July 27 (Reuters) &#8211; Bulgaria&#8217;s Socialist party abandoned plans on Wednesday to propose a new coalition government after failing to scrape together a majority in parliament, a development that promises fresh elections in the autumn for the Balkan country. President Rumen Radev will now have to appoint a caretaker cabinet to govern the European [&#8230;]",https://cde.news/bulgaria-faces-fresh-polls-after-socialists-drop-bid-to-form-government/?utm_source=rss&utm_medium=rss&utm_campaign=bulgaria-faces-fresh-polls-after-socialists-drop-bid-to-form-government,di-ve,general,en,us,2022-07-27T10:00:00+00:00,"Local Perspective | Global Outlook

SOFIA, July 27 (Reuters) – Bulgaria’s Socialist party abandoned plans on Wednesday to propose a new coalition government after failing to scrape together a majority in parliament, a development that promises fresh elections in the autumn for the Balkan country.
President Rumen Radev will now have to appoint a caretaker cabinet to govern the European Union and NATO member state before fresh elections can be held, most probably in October.
The Socialists had made a third and final go in the bid to form a government after the coalition government of reformist Prime Minister Kiril Petkov was toppled in a no-confidence vote last month, following the loss of its majority.
“It become clear that there is no majority willing to fight corruption … In that case we will return the mandate to form a government to the president unfulfilled tomorrow,” Georgi Svilenski, a senior member of the Socialist party, told reporters.
The Socialists agreed with their partners in the outgoing government on a six-month programme to fight widespread graft and offer measures to help businesses with surging prices, but failed to secure the support of a former ally, the ITN party.
Their attempt to put the programme to a vote in parliament was rejected by deputies, clearly showing their lack of a majority.
The prolonged political gridlock amid surging inflation and war in Ukraine is likely to imperil access to billions of euros in European Union recovery funds for the bloc’s poorest member state and hurt prospects of joining the euro zone in 2024.
It could also affect efforts to secure stable natural gas supplies after Moscow cut off gas deliveries to Bulgaria, almost completely reliant on Russian gas, following Sofia’s refusal to pay in roubles.
(Reporting by Tsvetelia Tsolova; Editing by Clarence Fernandez)
Subscribe now to keep reading and get access to the full archive.
Type your email…
Subscribe
Continue reading",Neutral
Reuters,Bulgaria faces fresh polls after Socialists drop bid to form govt,"SOFIA &#8212; Bulgaria&#8217;s Socialist party abandoned plans on Wednesday to propose a new coalition government after failing to scrape together a majority in parliament, a development that promises fresh elections in the autumn for the Balkan country. President Rumen Radev will now have to appoint a caretaker cabinet to govern the European Union and NATO [&#8230;]",https://financialpost.com/pmn/business-pmn/bulgaria-faces-fresh-polls-after-socialists-drop-bid-to-form-govt,Financial Post | Canada Business News,business,en,us,2022-07-27T08:51:55+00:00,[ERROR: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/bulgaria-faces-fresh-polls-after-socialists-drop-bid-to-form-govt],NA
