author,title,description,url,source,category,language,country,published_at,full_text,sentiment
,Ukraine-Krieg: Luxemburgs Premierminister besucht Ukraine,"Der luxemburgische Premierminister Xavier Bettel ist auf Einladung des ukrainischen Präsidenten Wolodymyr Selenskyj in die Ukraine gereist. Dies teilte die Regierung am Dienstag in Luxemburg mit. Bettel wolle «von der russischen Aggression betroffene Städte» besuchen, hieß es nach seiner Ankunft in Kiew. Einzelheiten zu seinem Besuchsprogramm und zur Dauer des Aufenthaltes wurden nicht mitgeteilt. Es sei auch eine Reihe bilateraler politischer Gespräche geplant. Selenskyj hatte sich am 2. Juni mit einer Video-Ansprache an das luxemburgische Parlament gewendet und dabei Bettel zu einem...",https://www.stern.de/gesellschaft/regional/rheinland-pfalz-saarland/ukraine-krieg-luxemburgs-premierminister-besucht-ukraine-31968320.html?utm_campaign=alle-nachrichten&utm_medium=rss-feed&utm_source=standard,stern,general,de,de,2022-06-21T08:17:04+00:00,"Â© G+J Medien GmbH
Zugang zustern+statt11,96 â¬nur 1 â¬
Bereits registriert?Hier anmelden",NA
rnd,Luxemburg versichert Ukraine Unterstützung bei EU-Beitritt,"Kiew/Luxemburg. Luxemburgs Premierminister Xavier Bettel hat der Ukraine die Unterstützung seines Landes auf dem Weg zu einer EU-Mitgliedschaft zugesichert. Dies teilte die Regierung in Luxemburg nach einem Treffen Bettels mit dem ukrainischen Präsidenten Wolodymyr Selenskyj vom Dienstag in Kiew mit. Bettel werde sich bei dem am Donnerstag beginnenden EU-Gipfel dafür einsetzen, dass der Ukraine der &#8230;Der Beitrag Luxemburg versichert Ukraine Unterstützung bei EU-Beitritt erschien zuerst auf landeszeitung.de.",https://www.landeszeitung.de/nachrichten/politik/575111-luxemburg-versichert-ukraine-unterstuetzung-bei-eu-beitritt/,landeszeitung,general,de,de,2022-06-21T20:01:11+00:00,[ERROR: 404 Client Error: Not Found for url: https://www.landeszeitung.de/nachrichten/politik/575111-luxemburg-versichert-ukraine-unterstuetzung-bei-eu-beitritt/],NA
,"""Ja, ich will Premierminister bleiben""",Wie geht es weiter mit Blau-Rot-Grün? Welche politischen Pläne hat Xavier Bettel? Was denkt er über Dan Kersch? Warum ist ihm das Triple A so wichtig?,https://www.wort.lu/de/politik/ja-ich-will-premierminister-bleiben-634e9fa4de135b92369bdb11,wort,general,de,lu,2022-10-18T14:45:00+00:00,[ERROR: Exceeded 30 redirects.],NA
,Regierung meets Presse auf dem Mäertchen,Die Regierung rund um Premier Xavier Bettel (DP) hatte die Presse zum Fischessen auf den Mäertchen eingeladen.,https://www.wort.lu/de/politik/regierung-meets-presse-auf-dem-maeertchen-62852e4cde135b9236b8f535,wort,general,de,lu,2022-05-18T17:35:08+00:00,[ERROR: Exceeded 30 redirects.],NA
,Jetzt live: Xavier Bettel spricht über Ergebnisse der Tripartite,Der Premierminister äußert sich ab 14 Uhr im Parlament über Maßnahmen zur Stärkung der Kaufkraft und die Gespräche mit den Sozialpartnern.,https://www.wort.lu/de/politik/jetzt-live-xavier-bettel-spricht-ueber-ergebnisse-der-tripartite-62457e21de135b923628a8ca,wort,general,de,lu,2022-03-31T11:45:00+00:00,[ERROR: Exceeded 30 redirects.],NA
,Bettel und Lenert blicken auf das vergangene Jahr zurück,In diesen Tagen gaben Premier Xavier Bettel und Gesundheitsministerin Paulette Lenert Interviews über das vergangene Jahr.,https://www.wort.lu/de/politik/bettel-und-lenert-blicken-auf-das-vergangene-jahr-zurueck-61d2fe63de135b9236015ba8,wort,general,de,lu,2022-01-03T13:47:15+00:00,[ERROR: Exceeded 30 redirects.],NA
,Luxemburger Parlament diskutiert über Corona-Impfpflicht,"LUXEMBURG (dpa-AFX) - Die Luxemburger Regierung will dem Rat von Experten aus der Wissenschaft zur Einführung einer Impfpflicht folgen. ""Diese Position ist für uns alternativlos"", sagte der luxemburgische Premierminister Xavier Bettel am Mittwoch bei einer Debatte im Parlament zu dem Thema. [mehr]",http://www.aktiencheck.de/news/Artikel-Luxemburger_Parlament_diskutiert_ueber_Corona_Impfpflicht-14074037,aktiencheck,general,de,de,2022-01-19T15:47:26+00:00,"Copyright 1998 - 2025aktiencheck.de,
			implementiert durchARIVA.DE AG",NA
,Xavier Bettel trifft in Davos auf Wirtschaftsgrößen,Premierminister Xavier Bettel bespricht sich beim Weltwirtschaftsforum in Davos mit zahlreichen Spitzenpolitikern und Firmenlenken.,https://www.wort.lu/de/business/xavier-bettel-trifft-in-davos-auf-wirtschaftsgroessen-628e4ae5de135b9236690e25,wort,general,de,lu,2022-05-25T15:27:33+00:00,[ERROR: Exceeded 30 redirects.],NA
,Luxemburgs Premierminister besucht Ukraine,LUXEMBURG (dpa-AFX) - Der luxemburgische Premierminister Xavier Bettel ist auf Einladung des ukrainischen Präsidenten Wolodymyr Selenskyj in die Ukraine gereist. Dies teilte die Regierung am Diens...,https://www.finanznachrichten.de/nachrichten-2022-06/56356704-luxemburgs-premierminister-besucht-ukraine-016.htm,finanznachrichten,general,de,de,2022-06-21T08:29:00+00:00,"LUXEMBURG (dpa-AFX) - Der luxemburgische Premierminister Xavier Bettel ist auf Einladung des ukrainischen Präsidenten Wolodymyr Selenskyj in die Ukraine gereist. Dies teilte die Regierung am Dienstag in Luxemburg mit. Bettel wolle ""von der russischen Aggression betroffene Städte"" besuchen, hieß es nach seiner Ankunft in Kiew. Einzelheiten zu seinem Besuchsprogramm und zur Dauer des Aufenthaltes wurden nicht mitgeteilt. Es sei auch eine Reihe bilateraler politischer Gespräche geplant. Selenskyj hatte sich am 2. Juni mit einer Video-Ansprache an das luxemburgische Parlament gewendet und dabei Bettel zu einem Besuch des Landes eingeladen./rtt/DP/men",Positive
Bernd Wientjes,Ukraine: Luxemburgs Regierungschef in der Ukraine: „Luxemburg steht an ihrer Seite“ (Update),Der luxemburgische Premierminister Xavier Bettel ist am Morgen mit dem Zug in die ukrainische Hauptstadt Kiew gereist. Er traf dort den Staatschef Selenskyj und besuchte Kriegsgebiete. Bei dem Besuch ging es auch um den EU-Beitritt der Ukraine.,https://www.volksfreund.de/region/luxemburgs-regierungschef-ist-in-die-ukraine-gereist_aid-71681247,volksfreund,general,de,de,2022-06-21T16:26:00+00:00,"Update|Luxemburg·Der luxemburgische Premierminister Xavier Bettel ist am Morgen mit dem Zug in die ukrainische Hauptstadt Kiew gereist. Er traf dort den Staatschef Selenskyj und besuchte Kriegsgebiete. Bei dem Besuch ging es auch um den EU-Beitritt der Ukraine.
Der Luxemburgische Premierminister Xavier Bettel ist am 21. Juni 2022 auf Einladung des ukrainischen Präsidenten Wolodymyr Selenskyj zu einem Besuch in die Ukraine gefahren.
Als der ukrainische Präsident Wolodymyr Selenskyj am 2. Juni per Video-Schalte zu den Abgeordneten des Luxemburger Parlaments sprach und dabei Regierungschef Xavier Bettel zu einem Besuch nach Kiew eingeladen hat, sah es noch so aus, als ob der Premierminister die Einladung nicht annehmen würde. Er brauche keine Publicity, sondern er wolle der Ukraine konkret helfen, sagte Bettel.",Positive
